,Type,Jewelry,Clothing,Eye Color,DNA,Back,Hair,Mouth,Eyewear,Accessories,Facial Feature,Helmet,Rarity score,Token Id
15930,MURAKAMI DRIP,None,JELLYFISH BLW UP JCKT,BLU,Human,None,BLCK Bandana TECH Cap,Organism M78.8,Glass X,None,HRUS TAT,None,56.409096224654846,15931
15931,MURAKAMI DRIP,None,BLCK Tech JCKT,BLU-PURP,Human,None,GRN DRDZ,Tan Tan Bo,None,None,Scratch Scarz,None,43.535175867080135,15932
15932,None,None,STRIPE Tee,None,Reptile,Robotic Arms,PURP BRDZ,RD DRGN Mask,None,None,None,None,36.15408043832897,15933
15933,None,BLCK-RD ZK-BEADZ,PURP CAMO PFA JCKT,BRWN,Human,None,BRWN Unkept,SMILE,Drip Scouter,None,None,None,41.59729679211017,15934
15934,MK1,None,Job Tee,None,Robot,None,PNK Beret Braids,SMILE,None,Cross Earring,None,None,41.80686657744555,15935
15935,MURAKAMI DRIP,VVS PANDA,RD BBL Vest,None,Robot,BLCK UNDRWRLD WINGZ,Flower Hat,None,None,None,None,None,41.01961821322648,15936
15936,MURAKAMI DRIP,None,BLCK Jellyfish Tee,None,Demon,None,BLCK BRDZ,None,BILLIONAIRE,None,None,None,30.433600281913048,15937
15937,MURAKAMI DRIP,None,BRED KBA JCKT,None,Robot,GRY UNDRWRLD WINGZ,BRWN 2 Horns,SMILE,Cyber Bindi,None,None,None,53.60878544940607,15938
15938,None,None,V1 BLU SKL GRL,None,Angel,None,RD Stylish,None,None,None,None,None,7.763885024224333,15939
15939,None,GLD CBLE,GM HOODIE,None,Demon,None,Sound Wave,Cyber Jaw,None,None,None,None,28.810758911681077,15940
15940,None,None,THRML PFA JCKT,None,Robot,None,PNK Beret Braids,None,None,None,None,None,3.799336002785288,15941
15941,None,None,MONO Fur Coat,None,Robot,Sword,BLND Stylish,None,None,None,None,None,20.337932097086238,15942
15942,None,GPURP Two Piece,SPACE TRIP Tee,None,Robot,None,None,Angry,None,None,None,None,24.008903671840635,15943
15943,None,None,WHT PNK Fur Coat,None,Robot,None,WHT Quiff,Lollipop,None,None,None,None,14.240710257149491,15944
15944,MK1,None,PURP KBA JCKT,None,Robot,None,BLCK Curtains,Bubblegum,BILLIONAIRE,None,None,None,39.015371315720735,15945
15945,MURAKAMI DRIP,SLVR CBLE,RCS Tee,None,Robot,SPLASH,Propeller Helmet,None,Cyber Eyes,None,None,None,53.73467119103395,15946
15946,None,GLD G-Link,BRWN TCTL Vest,None,Robot,None,NEON Cap,None,None,None,None,None,14.410087092248025,15947
15947,None,None,BLU PURP BNDN Shirt,PNK,Human,None,GRN Shape Up,None,None,None,None,None,7.912560707208094,15948
15948,None,SPIKED CHKR,JS Tee,None,Robot,None,BRWN Long,None,None,None,None,None,14.347628454497642,15949
15949,None,None,BLCK VARSITY JCKT,PNK,Human,None,PURP Shape Up,None,None,None,BIRTHMRK,None,22.541179130935337,15950
15950,MURAKAMI DRIP,None,CLNX FRSH Shirt,None,Robot,None,YU-RD,SMILEY RNBW,None,None,None,None,24.287988362278277,15951
15951,None,None,MONO Fur Coat,YLLW,Human,None,PURP Head Scarf,None,None,Cross Earring,None,None,23.98442373194751,15952
15952,None,CYN Two Piece,STRIPE Tee,PNK-BLU,Human,None,BLCK Quiff,Mustache,None,None,TRi TAT,None,43.76226810994985,15953
15953,None,MRBLE G-Link,JS Tee,GRN,Human,None,BLU MoHWK,TCTL SMILE,None,None,None,None,28.98025251641621,15954
15954,None,None,PURP VARSITY JCKT,None,Demon,None,PURP BRDZ,None,Cyber Bindi,None,None,None,20.601245914946574,15955
15955,None,None,IRI Tech JCKT,PNK-BLU,Human,None,WHT Unkept,RD DRGN Mask,BTC,None,TRi War TAT,None,46.49224085765108,15956
15956,None,None,BLCK BKR JCKT,BRWN,Human,None,PNK Spiked,None,None,None,Slash Scar,None,22.57241092318611,15957
15957,ICE,GLD Two Piece,YLLW BLW UP JCKT,None,Demon,None,BLU Pigtails,None,None,None,None,None,30.650287434442596,15958
15958,None,None,MONO Tee,None,Angel,None,PNK Curtains,Bubblegum,Drip Scouter,None,None,None,30.843371123414563,15959
15959,MURAKAMI DRIP,None,PURP Utility Vest,YLLW Breezy,Human,None,WHT Hairclip,SMILEY RNBW,Cyborg V2,None,Slash Scar,None,57.101780103262236,15960
15960,MURAKAMI DRIP,KAWAII CHRM,GRY UNDRWRLD Uniform,YLLW,Human,None,BLND Ponytail,None,None,None,Slash Scar,None,43.53708827033959,15961
15961,MK1,GLD Two Piece,BLCK VARSITY JCKT,None,Robot,None,BLU Long,RNBW GRILLZ,Snow Storm,None,None,None,49.8635617550955,15962
15962,None,SLVR Two Piece,WHT BKR JCKT,None,Robot,None,WHT Stylish,None,None,None,None,None,14.17348539953352,15963
15963,ICE,None,BRWN Fur Coat,None,Demon,None,BRWN Shaggy,ICED GRILLZ,Cyborg V1,None,None,None,43.713889669223875,15964
15964,None,None,JS HOODIE,None,Demon,None,Bunny,None,None,None,None,None,7.677791937667989,15965
15965,ICE,None,GRDNT PFA JCKT,None,Demon,None,PNK Pigtails,None,None,Neo Earrings,None,None,36.170948643733816,15966
15966,None,None,STRIPE Tee,BLU,Human,None,GOAT HRNZ,SMILE,Cyborg V2,None,369 TAT,None,45.820363948120516,15967
15967,None,None,GRNDT Fur Coat,BLU,Human,None,BLU Curtains,ROBO,None,None,Slash Scar,None,32.76720796976767,15968
15968,None,S-HIRE CBLE,BLCK BNDN Shirt,BLU-PURP,Human,None,BLND Fro,None,None,None,None,None,18.79670425618231,15969
15969,None,None,WHT BKR JCKT,YLLW,Human,None,BLND Stylish,None,None,None,None,None,8.046001069800681,15970
15970,None,None,PNK Waistcoat,None,Robot,None,BLCK Ponytailz,None,None,None,None,None,3.867476957635453,15971
15971,None,None,BRED KBA JCKT,PNK,Human,None,BLU Curtains,BLCK Long Beard,None,None,None,None,18.712501941031146,15972
15972,None,Bladez CHKR,FRSH Shirt,PURP,Human,None,BLCK Unkept,None,None,None,None,None,18.61026505037492,15973
15973,None,None,GRN HAWAIIAN Shirt,None,Robot,None,GRN Cyber Dreads,None,Assault Glasses,None,None,None,16.72767144318022,15974
15974,None,None,GM HOODIE,PNK-BLU,Human,None,BLCK Beanie,Pilot Mask,None,None,PROMO TAT,None,33.38611697548262,15975
15975,None,None,BLCK GM Tee,None,Angel,None,PURP Hacker,None,None,None,None,None,7.571773879716635,15976
15976,None,SLVR Two Piece,CLNX HOODIE,None,Robot,None,BLND Stylish,None,None,PTRA Earring,None,None,29.884510022099555,15977
15977,None,None,WAGMI Tee,BLU-PURP,Human,None,GRN Cyber Dreads,ICED GRILLS,None,None,WEBZ TAT,None,33.31136170119164,15978
15978,None,S-HIRE CBLE,BLU HAWAIIAN Shirt,CLSD BLU,Human,None,BLCK Quiff,ROBO,None,GLD Round,TRi HRUS TAT,None,59.99530331449869,15979
15979,None,GLD CBLE,BLCK Tee,None,Reptile,None,BRAINZ,FANGZ,None,None,None,None,30.000320681989578,15980
15980,None,SLVR CBLE,LIME GANG,None,Demon,None,MEDUZA,None,VSN Glasses,None,None,None,30.973975906735156,15981
15981,None,None,IRI BLW UP JCKT,PURP,Human,None,Kawaii,None,Drip Scouter,None,None,None,20.99501062945394,15982
15982,STONED,GLD G-Link,28 JCKT,BLU,Human,None,Fro,Cigar,None,None,None,None,41.74875843794451,15983
15983,None,None,WAGMI Tee,PNK,Human,None,BLCK Cap,None,None,None,WEBZ TAT,None,22.513738346671424,15984
15984,Divine,None,CHRMO HOODIE,None,Angel,None,None,ICED GRILLZ,None,None,None,None,30.60767728492264,15985
15985,MURAKAMI DRIP,VVS PANDA,MONO Tee,CLSD PURP,Human,None,BLCK Wrap,Jagged RNBW,None,None,None,None,39.704782272147746,15986
15986,None,None,MONO Fur Coat,PURP,Human,None,MEDUZA,None,None,None,None,None,8.077235432566496,15987
15987,None,None,JS HOODIE,BLU,Human,None,WHT Unkept,None,None,None,STARZ TAT,None,22.504271229468632,15988
15988,None,SLVR CBLE,Space PFA JCKT,None,Robot,None,BRWN Unkept,Pipe,None,None,None,None,24.84925969851811,15989
15989,ICE,None,NEON HOODIE,None,Demon,None,PURP BRDZ,MAD,None,SLVR STUD,None,None,46.43438817357448,15990
15990,ARTIST EDITION,WGLD Iced Cuban,WHT Jellyfish Tee,BLU-PURP,Human,None,None,None,None,None,None,None,31.346072927786295,15991
15991,MK1,None,WHT GRNG Dress,None,Robot,None,BRAINZ,None,None,None,None,None,15.915593000112297,15992
15992,None,GLD Two Piece,SPACE TRIP Tee,YLLW,Human,None,MEDUZA,None,None,None,SAD TAT,None,32.973473503045234,15993
15993,None,RBY Two Piece,BLCK-BLK Waistcoat,None,Robot,None,GRN Cyber Dreads,None,SPiKED BILLIONAIRE,GLD Round,None,None,43.15353255112173,15994
15994,None,GLD CBLE,LIME GANG,None,Reptile,None,DAD Cap,SFTY Mask,Cyborg V1,None,None,None,42.993954801580955,15995
15995,None,None,RD BBL Vest,None,Demon,None,YU-RD,None,VSN Glasses,None,None,None,20.51796517732767,15996
15996,None,None,GM HOODIE,None,Robot,None,BLCK Quiff,None,BLU LAZER,None,None,None,16.929246164821404,15997
15997,None,SLVR Two Piece,GRDNT PFA JCKT,None,Robot,None,BRWN 1 Horn,None,Drip Scouter,None,None,None,27.076853700577413,15998
15998,None,None,WHT KBA JCKT,PURP,Human,None,RD DRDZ,None,None,SLVR Round,333 VSN TAT,None,38.34457702959044,15999
15999,MURAKAMI DRIP,VVS PANDA,PURP KBA JCKT,None,Murakami,None,WHT Quiff,None,Cyber Eyes,None,None,None,42.733702995641885,16000
16000,ICE,None,BLCK PIN BKR JCKT,None,Demon,None,BLU MoHWK,SMILE,None,Gold Round Earrings,None,None,46.23945032229253,16001
16001,None,SLVR Two Piece,FLOOR Tee,None,Robot,None,RD Spike,None,None,None,None,None,14.094942512495978,16002
16002,None,None,Space PFA JCKT,None,Robot,None,WHT BRDZ,RNBW GRILLZ,BILLIONAIRE,None,None,None,27.124188314716648,16003
16003,None,None,V6 WHT SKL GRL,PNK-BLU,Human,None,PURP Shape Up,None,None,Cross Earring,None,None,24.014711106169578,16004
16004,None,RBY Two Piece,BLU PURP BNDN Shirt,None,Angel,None,RD Hairclip,None,Cyber Bindi,None,None,None,31.06479923242779,16005
16005,None,Blade CHKR,BLCK GM Tee,CLSD PURP,Human,None,BLND Flower Wreath,Bubblegum,None,None,HRUS 333 TAT,None,44.57421109723712,16006
16006,None,S-PDLCK,BLCK Waistcoat,None,Robot,None,BLU Head Scarf,None,None,None,None,None,14.39683633877541,16007
16007,STONED,PURP G-Link,IRI Tech JCKT,PURP,Human,None,TEAL Spiked,Bamboo,None,None,None,None,41.796074043155016,16008
16008,None,None,BLU HAWAIIAN Shirt,None,Angel,None,TECH Cap,Wise Fancy Mustache,None,None,None,None,18.496621189516464,16009
16009,None,None,HVY MTL HOODIE,BLU,Human,None,BLU Stylish,None,None,None,META TAT,None,22.52887463810062,16010
16010,None,None,CAMO BBL Vest,None,Robot,Sword Sheath,PURP BRDZ,WZRD,None,GLD STUD,None,None,46.91970247233157,16011
16011,None,None,CAMO PFA JCKT,BRWN,Human,None,BRWN Unkept,GLD GRILLZ,None,None,None,None,18.45887550986799,16012
16012,MURAKAMI DRIP,None,BLCK Waistcoat,SPINNING,Human,None,PNK Spiked,None,None,None,None,None,18.799595216390728,16013
16013,None,None,RFX Tee,BLU,Human,None,Fro,SMILE,None,None,None,None,17.971499844724384,16014
16014,None,None,BLCK Waistcoat,None,Angel,None,MEDUZA,GLD GRILLZ,None,None,None,None,18.323434434321737,16015
16015,MURAKAMI DRIP,None,CLNX Tee,WIDE-OPEN,Human,None,CYBR DRDZ,Ramen,None,None,None,None,29.087200874447518,16016
16016,None,None,Future Dress,None,Robot,None,WHT Horn Headband,Ghost,None,None,None,None,14.623990844760499,16017
16017,MK-BLCK,CHRM,CAMO BBL Vest,None,Robot,None,PNK Ponytail,Cigar,None,None,None,None,37.1834138428157,16018
16018,None,RBY Two Piece,RD VARSITY JCKT,PNK,Human,None,MNT Beret Braids,None,Drip Scouter,None,STARVSN TAT,None,46.04365984793441,16019
16019,None,None,JS HOODIE,CLSD GRN,Human,None,BLU Stylish,None,None,None,EKO TAT,None,23.324783230809892,16020
16020,None,None,STRIPE Tee,BLCK Surprised,Human,None,WHT Quiff,None,None,None,None,None,8.116972851850694,16021
16021,MURAKAMI DRIP,RNBW CBLE,WAGMI Tee,HALF-OPEN,Human,None,GRN Hacker,None,None,None,None,None,29.13074671184696,16022
16022,None,None,BLCK PIN BKR JCKT,None,Reptile,None,PURP Shape Up,Goatee,None,SLVR Round,None,None,35.344029730589064,16023
16023,None,None,BLCK Tech JCKT,None,Demon,None,WHT BWLCUT,RD DRGN Mask,Aviator,None,None,None,31.326014854922356,16024
16024,None,None,BLCK Tee,GRN,Human,None,PURP Curtains,Bubblegum,None,None,None,None,18.329228289129812,16025
16025,None,None,RCS Tee,None,Robot,None,BLU Ponytailz,None,None,None,None,None,3.653589692106401,16026
16026,ICE,None,GRN TCTL Vest,None,Demon,None,YU-BLCK,None,Cyborg V1,None,None,None,33.17310420125138,16027
16027,None,DRIP CHRM,V3 WHT SKL GRL,None,Human,None,BLU DRDZ,ICED GRILLS,Cyber Eyes,None,PROMO TAT,None,48.89035670863008,16028
16028,None,None,BLU Waistcoat,YLLW,Human,None,GRN Shape Up,None,BILLIONAIRE,None,None,None,20.799118855358856,16029
16029,None,PURP G-Link,BLCK Tee,GRN,Human,None,BLU DRDZ,RNBW GRILLZ,None,GLD Round,None,None,44.826903676008556,16030
16030,None,GLD G-Link,WHT PNK Fur Coat,BLU,Human,None,BLCK Quiff,1Tooth,None,None,SWRD TAT,None,43.82755486123635,16031
16031,MK1,GLD Two Piece,PNK Waistcoat,None,Robot,Sword Sheath,WHT Quiff,None,None,None,None,None,42.802355532595406,16032
16032,MURAKAMI DRIP,SLVR CBLE,WHT Jellyfish Tee,CLSD PNK-BLU,Human,None,BLND Curtains,Organism M78.8,Cyber Eye Patch,PTRA Earring,None,None,68.34784009001088,16033
16033,None,None,LIME GANG,None,Robot,None,BRWN Shaggy,None,None,None,None,None,3.7699981871419097,16034
16034,Divine,None,GM MONO HOODIE,None,Angel,None,WHT 2 Horns,None,None,None,None,None,20.110976081271716,16035
16035,None,None,BLU PURP BNDN Shirt,None,Robot,None,BLCK Curtains,None,Aviator,None,None,None,16.592340062493022,16036
16036,MK-BLCK,None,V3 WHT SKL GRL,None,Robot,None,RD Hairclip,Angry,RD LAZER,None,None,None,39.645625218000504,16037
16037,None,None,Blade Melt Tee,None,Demon,None,GRN Cyber Dreads,FANGZ,BILLIONAIRE,None,None,None,30.97208784467283,16038
16038,None,None,BLU Tech JCKT,BLU CRYSTL,Human,None,BLU Shape Up,RNBW GRILLZ,Cyborg V1,None,CLNX TAT,None,46.93228811365872,16039
16039,None,None,CLNX Tee,CLSD BLU-PURP,Human,None,Open Skull Helmet,None,None,None,None,None,8.676317146298015,16040
16040,None,None,FLOOR Tee,None,Angel,None,BLU Curtains,Angry,None,None,None,None,17.60798651714848,16041
16041,None,None,JS Tee,BLU CRYSTL,Human,None,WHT Curtains,RNBW GRILLZ,None,PTRA Earrings,None,None,35.163382141941405,16042
16042,None,None,WHT Utility Vest,BRWN,Human,None,WHT BRDZ,None,Eye Patch,None,333 VSN TAT,None,35.41585578332536,16043
16043,None,CHRM,BLCK Waistcoat,CLSD GRN,Human,None,BLU Shape Up,None,None,None,STARVSN TAT,None,33.6718888723651,16044
16044,None,None,PURP HiTECH Dress,None,Robot,None,GRN Head Scarf,ROBO,None,None,None,None,14.17256435586823,16045
16045,MURAKAMI DRIP,MRBLE G-Link,RTFKT x TM RNBW FLOWER PFA,None,Robot,None,BLU KO2 Tiara,None,Cyborg V1,None,None,None,37.52696433084913,16046
16046,None,CYN CBLE,BLCK TCTL Vest,CLSD VVS CRYSTL,Human,None,BLCK Shape Up,SMILE,None,None,STARZ TAT,None,44.131346540899955,16047
16047,None,CYN Two Piece,28 JCKT,None,Robot,None,BRWN 2 Horns,Alien,None,None,None,None,24.956200009177003,16048
16048,None,BLCK-GLD ZK-BEADZ,CAMO PFA JCKT,CLSD BLU-PURP,Human,None,BLU Stylish,None,None,None,None,None,19.409007429516965,16049
16049,MK1,None,JS HOODIE,None,Robot,None,BRWN Unkept,MAD,None,None,None,None,26.175836553749892,16050
16050,MURAKAMI DRIP,Blade CHKR,BRWN TCTL Vest,None,Robot,BLCK UNDRWRLD WINGZ,BLCK KO2 Tiara,Jagged RNBW,None,None,None,None,51.70683794507988,16051
16051,None,SLVR Two Piece,CAMO BBL Vest,None,Robot,None,WHT Turban,None,None,None,None,None,14.295570924849512,16052
16052,None,RBY Two Piece,LIME GANG,None,Robot,None,BLCK Shape Up,Angry,SPiKED BILLIONAIRE,PTRA Earring,None,None,53.049659756758984,16053
16053,MURAKAMI DRIP,None,GRN UNDRWRLD Uniform,GRN,Human,None,WHT Horn Headband,ICED GRILLZ,None,None,11-11 TAT,None,43.487862395817196,16054
16054,MURAKAMI DRIP,CHRM,BLCK Jellyfish Tee,AWAKEN,Robot,None,LoneSome Cowboy,None,None,None,None,None,32.73319621418842,16055
16055,None,None,BRED KBA JCKT,None,Robot,None,PURP BRDZ,None,BILLIONAIRE,None,None,None,16.511900677062805,16056
16056,None,None,STRIPE Tee,None,Undead,None,Fro,1Tooth,None,None,None,None,19.590655248016084,16057
16057,MURAKAMI DRIP,None,RTFKT x TM RNBW FLOWER PFA,None,Demon,None,ZK Bucket,None,Cyber Bindi,Cross Earring,None,None,46.45620337786677,16058
16058,MK-BLCK,None,BLCK-BLK Waistcoat,None,Robot,None,BRWN Unkept,ROBO,None,None,None,None,26.273329484520662,16059
16059,MURAKAMI DRIP,VVS PANDA,WAGMI Tee,WIDE-OPEN,Demon,None,Rice Hat,None,None,None,None,None,36.767402458365254,16060
16060,None,CYN Two Piece,PURP HiTECH Dress,None,Robot,None,BLND Hairclip,None,None,None,None,None,14.476330045284286,16061
16061,None,S-PDLCK,ORNG FRSH Shirt,BRWN,Human,None,RD Pigtails,SMILE,Cyber Eye Patch,None,None,None,41.754384166986,16062
16062,MURAKAMI DRIP,None,WHT Jellyfish Tee,None,Demon,None,PURP Curtains,None,None,None,None,None,17.475470156653948,16063
16063,None,SLVR CBLE,BLCK-BLK Waistcoat,None,Robot,None,BLND Curtains,None,None,None,None,None,14.110084817290042,16064
16064,None,RBY CBLE,BLCK TCTL Vest,None,Angel,None,PURP BRDZ,None,None,None,None,None,18.24014031354131,16065
16065,None,CYN CBLE,WAGMI Tee,BLCK Surprised,Human,None,BLCK Shape Up,ROBO,None,None,None,None,28.691606000439503,16066
16066,None,None,BRWN Future Dress,PNK-BLU,Human,None,BLND Curtains,Alien,None,None,None,None,18.877177927202172,16067
16067,None,RNBW G-Link,MONO Tee,None,Demon,None,Dip-Dye Part Hat,None,None,None,None,None,18.28180565927527,16068
16068,None,None,GM HOODIE,None,Robot,None,WHT Quiff,None,Drip Scouter,None,None,None,16.550699693523537,16069
16069,None,SG-PDLCK,PURP CAMO PFA JCKT,PNK,Human,All Seeing Eyes,WHT Turban,None,None,None,None,None,35.19455831152732,16070
16070,None,None,FLOOR Tee,GRN,Human,None,WHT BWLCUT,None,BILLIONAIRE,None,Angry TAT,None,35.11776023945033,16071
16071,None,None,RCS Tee,None,Reptile,None,CYBR DRDZ,None,Assault Glasses,None,None,None,21.833419339476524,16072
16072,None,None,WAGMI Tee,CLSD PNK,Human,None,PURP Curtains,None,None,None,None,None,8.477579558080226,16073
16073,MURAKAMI DRIP,None,BLCK GRNG Dress,None,Angel,None,PIRATE,Jagged RNBW,ZK VR,None,None,None,41.49111561843607,16074
16074,None,None,WAGMI Tee,PNK,Human,None,YU-BLU,None,None,None,None,None,7.8576691481185055,16075
16075,None,None,SD Tee,BLU,Human,None,PURP Hacker,None,Cyber Bindi,None,None,None,20.80195545515533,16076
16076,None,None,STRIPE Tee,YLLW,Human,None,BLCK Hairclip,None,None,Cross Earring,None,None,23.767708839299797,16077
16077,None,None,HVY MTL HOODIE,None,Robot,None,RCSave Cap,None,None,None,None,None,3.762427858950019,16078
16078,None,None,GM MONO HOODIE,BLCK Surprised,Human,None,PNK Beret Braids,None,None,None,None,None,8.291107468244013,16079
16079,MK-BLCK,None,SPACE TRIP Tee,None,Robot,None,RD Braid,Cigar,None,None,None,None,26.63199051402389,16080
16080,None,PURP G-Link,BLCK TCTL Vest,None,Robot,None,PIRATE,None,None,None,None,None,14.31450433500995,16081
16081,None,None,BLU BNDN Shirt,CLSD RD CRYSTL,Human,None,PNK Shape Up,Pilot Mask,None,Neo Earrings,EKO TAT,None,49.99813986757381,16082
16082,MURAKAMI DRIP,PURP G-Link,28 JCKT,HALF-OPEN,Robot,None,BLCK Ponytail,None,None,None,None,None,33.041718035528774,16083
16083,None,None,STRIPE Tee,None,Robot,None,PURP Shape Up,Knife,None,None,None,None,14.260579161310563,16084
16084,None,None,CLNX FRSH Shirt,PNK-BLU,Human,None,None,Ramen,OTT Future Vision,None,None,None,31.678165917973505,16085
16085,None,PURP G-Link,BLCK BNDN Shirt,PNK,Human,None,BLU Curtains,Gas Mask,None,None,None,None,28.959431628790583,16086
16086,MK-BLCK,None,BLCK Waistcoat,None,Robot,None,PNK Beret Braids,FANGZ,None,None,None,None,26.861951698850326,16087
16087,None,None,BLCK GM Tee,None,Robot,None,GOAT HRNZ,None,None,None,None,None,3.6072180197073775,16088
16088,None,None,BLU HAWAIIAN Shirt,RD CRYSTL,Human,None,PNK Ponytail,None,DRIP VISION,PTRA Earring,Sword VSN  TAT,None,52.322075517406596,16089
16089,None,GLD G-Link,BLCK Utility Vest,CLSD BLU,Human,None,TEAL Spiked,None,None,None,CLNX TAT,None,34.080697305753326,16090
16090,None,Hi-TECH CBLE,SPACE TRIP Tee,None,Robot,None,BLU Stylish,None,None,None,None,None,14.069381300753378,16091
16091,None,None,V2 WHT SKL GRL,YLLW,Human,None,BRWN Long,None,None,None,333 TAT,None,22.833608216168077,16092
16092,MK-BLCK,None,PNK HiTECH Gown,None,Robot,None,BLND Long Split,SPIDERZ,None,None,None,None,26.94712195114261,16093
16093,None,GLD Two Piece,CLNX Tee,None,Demon,None,TECH Cap,None,None,SLVR STUD,None,None,33.9453340681231,16094
16094,None,None,WAGMI Tee,YLLW,Human,None,PNK MoHWK,None,None,None,None,None,7.893639373307322,16095
16095,None,None,BLCK BNDN Shirt,BRWN,Human,None,WHT Curtains,None,None,None,None,None,7.799940650204514,16096
16096,None,None,MONO Tee,YLLW,Human,None,BLU Shape Up,None,None,None,333 VSN TAT,None,22.306486982267405,16097
16097,None,S-HIRE CBLE,MONO Tee,CLSD PNK,Human,None,ZK Bucket,None,Eye Patch,Cross Earring,369 VSN TAT,None,62.46111479486004,16098
16098,None,None,PNK Fur Coat,BLU,Human,None,BLND Fro,None,None,None,None,None,8.126447147851868,16099
16099,MURAKAMI DRIP,PURP ZK-BEADZ,GRDNT PFA JCKT,None,Demon,None,LoneSome Cowboy,SMILE,None,None,None,None,38.6040305719051,16100
16100,None,CYN Two Piece,BLU HAWAIIAN Shirt,None,Robot,None,BLND Fro,Lollipop,SPiKED BILLIONAIRE,None,None,None,37.903648585903284,16101
16101,None,None,BLCK Waistcoat,None,Robot,None,PNK Shape Up,Romantico,None,None,None,None,14.235977644337597,16102
16102,None,None,PNK ORNG Fur Coat,PNK-BLU,Human,None,GRN Shape Up,None,None,None,369 VSN TAT,None,22.679358701981357,16103
16103,None,None,PURP HiTECH Dress,YLLW,Human,None,GRN Shape Up,None,None,None,None,None,8.087646919388293,16104
16104,None,RBY Two Piece,BLU BNDN Shirt,BLU,Human,None,YU-BRED,None,None,None,None,None,18.41625551613559,16105
16105,MURAKAMI DRIP,None,RTFKT x TM RNBW FLOWER PFA,HALF-OPEN,Robot,None,WHT BRDZ,None,Assault Glasses,None,None,None,35.3800119280167,16106
16106,None,CYN CBLE,BLCK GM Tee,PNK,Human,None,BLND Stylish,None,None,None,None,None,18.3793460141882,16107
16107,None,None,BLCK BNDN Shirt,None,Robot,None,BRWN Shaggy,Alien,None,None,None,None,14.319255035846057,16108
16108,None,None,RCS Tee,BLCK Surprised,Human,None,WHT Unkept,None,None,None,None,None,8.037472792148858,16109
16109,None,None,JS HOODIE,CLSD BLU,Human,None,GRN Shape Up,None,None,None,EKO TAT,None,23.22352795307494,16110
16110,None,GLD Two Piece,STRIPE Tee,YLLW,Human,None,META LEOPARD TECH Cap,None,Cyborg V1,SLVR STUD,WEBZ TAT,None,62.01351263231047,16111
16111,None,None,SD Tee,PURP,Human,None,PNK Ponytail,None,BILLIONAIRE,Cross Earring,None,None,36.4284674775198,16112
16112,None,None,BLCK PIN BKR JCKT,BRWN,Human,None,BLND Hairclip,GLD GRILLZ,None,None,SWRD TAT,None,33.17602532614375,16113
16113,MURAKAMI DRIP,VVS PANDA,RFX Tee,WIDE-OPEN,Human,None,BLCK KO2 Tiara,None,Cyber Bindi,None,None,None,42.03925993927612,16114
16114,None,None,RCS Tee,BLU-PURP,Human,None,NEON Cap,SMILE,None,None,PROMO TAT,None,32.95175067734242,16115
16115,None,CHRM,BLU ORNG BNDN Shirt,None,Robot,None,GRN Stylish,None,None,None,None,None,14.088313789209137,16116
16116,None,None,TRPPY HiTECH GOWN,YLLW,Human,None,BLU Hacker,SMILE,Drip Scouter,None,None,None,31.314768881378292,16117
16117,MK1,None,WHT BKR JCKT,None,Robot,None,BRED Buns,SPIDERZ,None,None,None,None,26.41620670321277,16118
16118,None,CHRM,BLCK PIN BKR JCKT,BRWN,Human,None,PNK Shape Up,None,BTC,None,None,None,31.174682194452224,16119
16119,MK1,None,RD BBL Vest,None,Robot,None,FLME SD Mask,None,None,None,None,None,15.79729295367532,16120
16120,MURAKAMI DRIP,None,BLCK Jellyfish Tee,RNBW,Human,None,Open Skull Helmet,None,None,None,TRi HRUS TAT,None,33.39089211433526,16121
16121,None,SG-PDLCK,GRNDT Fur Coat,BRWN,Human,None,NVY DRDZ,None,None,None,None,None,18.52129942522121,16122
16122,None,None,RFX Tee,None,Robot,None,BLCK Unkept,None,None,None,None,None,3.5012213509216745,16123
16123,None,None,BLCK-BLK Waistcoat,PURP,Human,None,PURP BRDZ,SMILE,None,None,None,None,18.201465733373304,16124
16124,None,RBY Two Piece,RTFKT CHROME Tee,PNK,Human,None,BLU Shape Up,ROBO,None,SLVR Round,None,None,44.11055241663678,16125
16125,None,None,None,None,Robot,None,Cowboy,None,None,None,None,None,3.93940601084949,16126
16126,None,None,Blade Melt Tee,None,Robot,None,BRWN Ponytail,Alien,Assault Glasses,None,None,None,27.18948825592596,16127
16127,MURAKAMI DRIP,VVS PANDA,JELLYFISH BLW UP JCKT,None,Robot,Energy Wings,BLCK Unkept,Angry,None,None,None,None,51.072842206825634,16128
16128,None,None,CAMO PFA JCKT,PNK-BLU,Human,None,Cowboy,None,Drip Scouter,None,SWRD TAT,None,35.66379946138138,16129
16129,None,PURP Two Piece,BLCK Tee,None,Robot,None,BLCK Party Hat,None,None,None,None,None,14.130906723679795,16130
16130,None,None,WHT KBA JCKT,BLU-PURP,Human,None,BLU Curtains,None,None,None,SKULL WEBZ TAT,None,22.808059080205048,16131
16131,MURAKAMI DRIP,None,BLCK Future Dress,None,Robot,None,BLU Curtains,Jagged RNBW,Cyborg V1,None,None,None,37.29697400402364,16132
16132,None,GLD CBLE,GM MONO HOODIE,PURP,Human,All Seeing Eyes,BLND Stylish,None,None,SLVR Round,Sword VSN  TAT,None,65.39811285319193,16133
16133,None,None,BLCK Utility Vest,None,Robot,None,BLND Curtains,Lollipop,None,None,None,None,14.225568049014791,16134
