,Hand,Hat,Fit,Mouth,Eyes,Skin,Hair,Background,FX,Face Accessory,Hand Back,Hand Open L Attr,Head Accessory,Hand Face Attr,Earring,Back,Neck,Hand Open R Attr,Hand Palm Attr,Hand Hold Attr,Head,Legendary,Rarity score,Token Id
9197,None,None,Blue Varsity Jacket,Grunt,Pink,Darker,Long Fringe,Blue,None,None,None,None,None,None,None,None,Big Headphone,None,None,None,None,None,17.663160882325037,9198
9198,None,None,Dark Ether,A,Blue,Demon,Braided Bun,Light Purple,None,None,None,None,Goggles,None,None,None,None,None,None,None,None,None,21.05355111029131,9199
9199,Default Hold,Beanie,Fur Coat,Grin,Green,Default,Short Spiky,Red,None,None,None,None,None,None,None,None,None,None,None,Golden Revolver,None,None,41.30562187653937,9200
9200,None,Navy Beanie,Chain White Shirt,Toothpick,Pink,Darker,Spiky,Blue,None,None,Swift Katana,None,None,None,None,None,None,None,None,None,None,None,28.059790966082044,9201
9201,Dark Hand Face,None,White Asian Top,A,Eye Cover,Dark,Long Twintail,Purple,None,None,None,None,Smoke,Fangs,None,None,None,None,None,None,None,None,46.06434211503688,9202
9202,None,None,Rebel,Open,Red,Darker,None,White,Icy Wind,None,Excalibur,None,None,None,None,None,None,None,None,None,Skull,None,48.48072123523212,9203
9203,None,None,Victorian Blazer,Face Mask,Pink,Dark,Two Block,Navy,None,None,None,None,None,None,None,None,Dark Headphone,None,None,None,None,None,18.18965556348549,9204
9204,Default Hold,None,Bulletproof T-Shirt,A,Black,Default,Slick Back,Green Gray,None,None,None,None,Demon Horn,None,None,None,None,None,None,Golden Revolver,None,None,43.87528028507184,9205
9205,Default Hand ETH,None,White Haus Hoodie,Grunt,Blue,Default,Long Twintail,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.635606525198467,9206
9206,Default Open R,None,White Haus Hoodie,Biting Lips,Pink,Default,Short Fringe,Blue,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,28.098463660013522,9207
9207,Darker Open L,None,White Haus Hoodie,Open,Closed,Darker,Long Locks,Blue,None,None,None,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,27.629214589479133,9208
9208,None,Navy Beanie,City Assassin,Smile,Eye Cover,Demon,Academy,Navy,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,30.982590275846416,9209
9209,Darker Hand ETH,None,Classic Denim,Grunt,Closed,Darker,Side Fringe,Navy,None,None,Dark Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,25.44864526759371,9210
9210,Darker Open L,Badges Cap,Red Yakuza Yukata,Smile,Eye Cover,Darker,Short Fringe,Light Purple,Stargazer,None,Sawn-off,Flame,None,None,Cross,None,None,None,None,None,None,None,87.52871501284861,9211
9211,None,None,Yakuza Yukata,Bland,Silver,Fiend,Bun,Purple,Feathers,None,None,None,None,None,None,None,Dark Headphone,None,None,None,None,None,36.85368228045332,9212
9212,None,None,Dark Techno Biker,Pout,Eye Cover,Darker,Side Fringe,Light Purple,None,None,None,None,Demon Horn,None,None,None,None,None,None,None,None,None,20.780686890813545,9213
9213,None,None,Choker Corset,Face Mask,Hazel,Demon,Twin Bun,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.292039274167476,9214
9214,Darker Hand Face,None,Yakuza Yukata,Pout,Pink,Darker,Braided Bun,Blue,None,None,Tech Sword,None,None,None,Dot,None,None,None,None,None,None,None,40.09975534514447,9215
9215,Dark Hand Palm,None,Street Agent,Bland,Hazel,Dark,Messy,Off White,None,Blood Mark,None,None,None,None,None,None,None,None,Knife,None,None,None,43.58326037852488,9216
9216,None,None,Night Witch,Bland,Pink,Darker,Short Ponytail,Navy,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,15.37991181611599,9217
9217,Default Hand Face,Badges Cap,Formal Dress,Grunt,Blue,Default,Long Flowy Locks,Blue,None,None,Red Tech Sword,None,None,Fangs,None,None,None,None,None,None,None,None,51.31495019349156,9218
9218,None,Dark Spacehelm,Green Varsity Jacket,Grunt,Closed,Pale,Long Twintail,Off White,Chains,None,None,None,None,None,None,Tomoe,Dark Headphone,None,None,None,None,None,64.4295577626423,9219
9219,None,None,Black Koi Tees,Bland,Red,Darker,Long Flowy Locks,Off White,None,None,Ninjato,None,None,None,None,None,None,None,None,None,None,None,15.296498713568893,9220
9220,None,None,Yakuza Yukata,Pout,Void,Fiend,Messy,Red,None,None,Tech Sword,None,None,None,None,None,None,None,None,None,None,None,18.386400727275785,9221
9221,None,None,City Assassin,Mumble,Void,Dark,None,Blue,None,None,None,None,None,None,None,Swords,None,None,None,None,Skull,None,34.556366159497266,9222
9222,None,None,Green Yakuza Yukata,Open,Closed,Dark,Shag,White,None,None,None,None,None,None,None,Dove,None,None,None,None,None,None,17.05843144939295,9223
9223,None,None,City Assassin,Mask,Green,Darker,Long Twintail,Off White,None,None,AK,None,None,None,None,None,None,None,None,None,None,None,15.190503290794322,9224
9224,Default Open L,None,Dark Worshipper,Smile,Void,Default,Academy,Navy,None,None,None,phase.module [the generation] v0.02,Gas Mask,None,None,None,None,None,None,None,None,None,44.542426523334214,9225
9225,None,None,Blue Bulletproof T-Shirt,Mumble,Black,Fiend,Messy,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6.1123908512939815,9226
9226,Darker Hand Face,None,Red Trainer,Big Smile,Closed,Darker,Spiky,Navy,None,None,Exalted Katana,None,None,None,None,None,None,None,None,None,None,None,25.585937513784117,9227
9227,None,None,Red Jeans Hoodie,Big Smile,Green,Dark,Bowl Cut,Light Purple,None,None,None,None,None,None,None,Silver Back Katana,None,None,None,None,None,None,17.564124928984683,9228
9228,None,None,Dark Haus Denim,Big Smile,Black,Darker,Bowl Cut,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.840863439679217,9229
9229,Default Hand Face,None,Nu Sailor,A,Blue,Default,Hime Cut,Blue,None,None,Dark Shotgun,None,None,Fangs,None,None,None,None,None,None,None,None,38.33271882891475,9230
9230,Default Hand Palm,None,Open Jacket,Meh,Pink,Default,Twin Bun,Blue,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,27.101002067755452,9231
9231,Default Hand ETH,None,Red Drive,Mumble,Closed,Default,Long Fringe,Red,None,None,Dark Machete,None,None,None,None,None,None,None,None,None,None,None,23.016037602412204,9232
9232,Default Hand Face,None,Bikini,Grin,Blue,Default,Long Flowy Locks,Navy,None,None,None,None,None,None,None,None,Headphone,None,None,None,None,None,27.792796051006068,9233
9233,Default Hold,None,Skelly Jacket,Smile,Blue,Default,Short Spiky,Blue,None,None,None,None,None,None,None,None,None,None,None,Revolver,None,None,26.09318761495961,9234
9234,None,HAUS Cap,Rebel,Pout,Silver,Dark,Slick Back,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.689118189201809,9235
9235,None,None,Edge Camo Jacket,Open,Silver,Dark,Buzz Cut,Off White,White Petals,None,Broken Katana,None,None,None,None,None,None,None,None,None,None,None,29.45152014260618,9236
9236,Default Hand ETH,None,Woodland Camo,Hmm,Blue,Default,Long Fringe,Purple,None,Mark,Katana,None,None,None,None,Corrupted Skulls,None,None,None,None,None,None,53.029950191731615,9237
9237,None,None,Light Technocoat,Big Smile,Silver,Demon,Short Spiky,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.323357495053192,9238
9238,Dark Hand Face,None,Blood Worshipper,Grin,Silver,Dark,Academy,Purple,None,None,Bazooka,None,None,Silence,None,None,None,None,None,None,None,None,40.85898626018999,9239
9239,Default Hand ETH,None,Red Koi Tees,Big Smile,Closed,Default,Short Ponytail,Navy,None,None,Red Tech Sword,None,None,None,None,None,None,None,None,None,None,None,23.007350571262652,9240
9240,None,None,Dark Worshipper,Meh,Green,Fiend,Straight Headband,Dark,None,None,None,None,None,None,None,Fishes,None,None,None,None,None,None,21.13533350383876,9241
9241,None,None,White Sidebelt,Mask,Silver,Dark,Bun,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.4383257981563142,9242
9242,None,None,Dark Asian Top,Grunt,Blue,Dark,Hime Cut,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.36011259863561,9243
9243,None,None,Mono Demon Maiden,Smile,Black,Darker,Long Locks,Light Purple,None,None,None,None,Exalted Crown,None,None,Gilded Tomoe,None,None,None,None,None,None,34.95439592950237,9244
9244,None,None,Leather Coat,Grunt,Closed,Pale,Bowl Cut,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.356425019056339,9245
9245,None,Beanie,White Ether,Grin,Black,Darker,Long Flowy Locks,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.077657061396526,9246
9246,None,None,Green Haus T-Shirt,Face Mask,Hazel,Pale,Bangs Short,Dark,None,None,None,None,Dark Side Mask,None,None,None,None,None,None,None,None,None,21.600910278436995,9247
9247,None,Spacehelm,Black Koi Tees,Smile,Hazel,Darker,Bangs Short,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.058531780771503,9248
9248,None,White Bucket Hat,Demon Maiden,Open,Red,Darker,Long Twintail,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.355522984273929,9249
9249,None,None,Red Haus Hoodie,Mask,Blue,Darker,Bangs Short,Green Gray,None,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,15.334734832439972,9250
9250,None,Navy Beanie,Winter Camo,Big Smile,Silver,Dark,Messy,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,14.029532199142947,9251
9251,None,None,Navy Haus T-Shirt,Meh,Silver,Dark,Messy,Purple,None,Browline Glasses,None,None,None,None,None,None,None,None,None,None,None,None,16.782161470930397,9252
9252,None,None,Green Haus T-Shirt,Bland,Red,Dark,Long Flowy Locks,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.240181892159072,9253
9253,Dark Open R,None,Koi Tees,Grunt,Hazel,Dark,Long Locks,Green Gray,None,None,None,None,Bow,None,None,None,None,Dice,None,None,None,None,45.26849955880484,9254
9254,None,None,WAGMI Bomber,Pout,Pink,Dark,Twin Bun,Red,None,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,13.847131313879736,9255
9255,None,Blue Cap,Blazer,Big Smile,Silver,Dark,Bun,Purple,None,None,AK,None,None,None,None,None,None,None,None,None,None,None,27.19610859355617,9256
9256,None,None,WAGMI Bomber,Open,Hazel,Dark,Bowl Cut,Purple,None,None,Shotgun,None,Smoke,None,None,None,None,None,None,None,None,None,29.58000955845055,9257
9257,None,None,Orange Camo,Bland,Silver,Pale,Side Fringe,Blue,None,None,None,None,None,None,None,Red Swords,Big Headphone,None,None,None,None,None,35.06569279549229,9258
9258,Default Open L,Light HAUS Cap,Racer,Grin,Pink,Default,Hime Cut,Red,None,None,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,41.10923040954616,9259
9259,Default Hand Palm,None,Navy Haus T-Shirt,Bland,Green,Default,Messy,Purple,None,None,None,None,None,None,None,None,None,None,Karambit,None,None,None,28.626668156549318,9260
9260,None,None,Yakuza Yukata,Mumble,Red,Dark,Long Side Swept,Dark,Cash,Browline Glasses,AK,None,None,None,None,None,None,None,None,None,None,None,43.44909522395633,9261
9261,Default Open L,None,Blood Formal Dress,Face Mask,Closed,Default,Twin Bun,Off White,None,None,None,phase.module [created to be loved] v0.01,None,None,None,None,Dark Headphone,None,None,None,None,None,43.298438443880315,9262
9262,None,None,Blue Racer,Pout,Blue,Fiend,Straight Headband,Off White,None,Scar 2,None,None,None,None,Ring,Corrupted Skulls,None,None,None,None,None,None,51.3493237281617,9263
9263,Default Hand Palm,None,Formal Dress,Hmm,Hazel,Default,Long Twintail,Dark,None,Browline Glasses,None,None,None,None,None,None,None,None,Cutter,None,None,None,42.93358552609377,9264
9264,Default Hand ETH,None,Winter Camo,Grin,Green,Default,Clean,Light Purple,None,None,Machete,None,None,None,None,None,None,None,None,None,None,None,23.556478858855307,9265
9265,None,None,Rocker,Open,Black,Darker,Braided Bun,Light Purple,Feathers,Clear Glasses,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,45.05285175031574,9266
9266,None,Spacehelm,Black Varsity Jacket,Open,Cocoa Gray,Darker,Short Fringe,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.877995465659726,9267
9267,Default Hold,Newsboy Hat,Navy Ether,Smile,Silver,Default,Long Flowy Locks,Green Gray,None,Scar 2,None,None,None,None,None,None,None,None,None,Revolver,None,None,55.34566574640248,9268
9268,None,None,Blood Formal Dress,Biting Lips,Blue,Demon,Bangs Short,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.311895574289557,9269
9269,None,None,Jeans Hoodie,Grunt,Void,Darker,Spiky,Purple,None,None,Red Sheathed Katana,None,None,None,Ring,None,None,None,None,None,None,None,32.36381113184921,9270
9270,None,None,Red Haus Hoodie,Mumble,Red,Darker,Messy,Navy,None,None,M4,None,None,None,None,None,None,None,None,None,None,None,15.331273098004743,9271
9271,None,None,Crimson Blazer,Pout,Blue,Fiend,Short Ponytail,Navy,None,None,None,None,Side Mask,None,None,None,Big Headphone,None,None,None,None,None,37.331444356749486,9272
9272,None,None,Dark Asian Top,Grunt,Blue,Fiend,Bangs Short,Dark,Icy Wind,None,None,None,Oni Half Mask,None,None,None,None,None,None,None,None,None,36.85535542986433,9273
9273,None,Light HAUS Cap,Blue Racer,Hmm,Pink,Dark,Long Side Swept,Off White,None,Boston Glasses,None,None,None,None,None,None,None,None,None,None,None,None,29.972804825331618,9274
9274,Default Hold,White Bucket Hat,Black Haus T-Shirt,Grin,Black,Default,Two Block,Green Gray,None,None,None,None,None,None,None,None,None,None,None,Card,None,None,40.99806933586481,9275
9275,Default Hand ETH,Bandana,White Leather Coat,Pout,Void,Default,Shag,Off White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26.28108836450934,9276
9276,Dark Hand ETH,None,Light Technocoat,Hmm,Black,Dark,Shag,Off White,None,None,None,None,None,None,None,Giant Tomoe,None,None,None,None,None,None,28.209620053889374,9277
9277,None,None,Light Open Vest,A,Green,Fiend,Messy,Red,None,None,Sawn-off,None,Gas Mask,None,None,None,None,None,None,None,None,None,33.17535740895282,9278
9278,Default Open L,None,Formal Dress,Open,Red,Default,Long Flowy Locks,White,None,None,Tech Sword,phase.module [created to be loved] v0.01,None,None,None,None,None,None,None,None,None,None,39.62376064416667,9279
9279,None,None,Green Yakuza Yukata,Meh,Silver,Darker,Short Ponytail,Off White,None,None,None,None,None,None,Dice,None,None,None,None,None,None,None,19.83188173965662,9280
9280,None,None,Yakuza Yukata,Biting Lips,Red Blush,Pale,Hime Cut,Off White,None,Blood Mark,None,None,None,None,None,None,Headphone,None,None,None,None,None,38.415855711273366,9281
9281,None,None,White Haus T-Shirt,Bubblegum,Closed,Demon,Bangs Short,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,5.643160362154373,9282
9282,Default Hand ETH,None,Open Jacket,Open,Green,Default,Long Side Swept,Off White,None,Scar 2,Red Saber,None,None,None,None,None,None,None,None,None,None,None,37.68308678367641,9283
9283,Default Hand Palm,None,Gilded Skelly,Hmm,Blue,Default,Braided Bun,Off White,None,None,None,None,None,None,None,None,None,None,Knife,None,None,None,28.869955997326286,9284
9284,None,None,Formal Shirt,Grunt,Pink,Dark,Short Fringe,Blue,None,None,None,None,None,None,Ring,None,None,None,None,None,None,None,16.689938566955778,9285
9285,Default Hand Face,None,Light Bomber,Big Smile,Eye Cover,Default,Spiky,Light Purple,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,29.632797823920328,9286
9286,Default Open L,None,Skelly Jacket,A,Silver,Default,Clean,Blue,None,None,Dark Machete,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,37.755841699529945,9287
9287,None,None,White Asian Top,Big Smile,Closed,Darker,Long Flowy Locks,Green Gray,None,None,None,None,Oni Half Mask,None,Rings,Wind,None,None,None,None,None,None,50.11376520620969,9288
9288,None,None,Skelly Jacket,Smile,Green,Pale,Messy,Purple,White Petals,None,None,None,None,None,None,None,Chain Necklace,None,None,None,None,None,36.74422964383683,9289
9289,None,None,Green Yakuza Yukata,Grunt,Blue,Fiend,Bun,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.1468294556629175,9290
9290,None,None,Black Fur Coat,Hmm,Red,Pale,Long Fringe,Dark,None,None,None,None,None,None,None,Giant Tomoe,None,None,None,None,None,None,21.137071153757326,9291
9291,None,None,Navy Haus T-Shirt,Face Mask,Pink,Darker,Long Twintail,Red,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.830419975503886,9292
9292,None,None,Black Varsity Jacket,Bland,Red,Dark,Side Fringe,White,Petals,None,Excalibur,None,None,None,None,None,None,None,None,None,None,None,29.203035000642743,9293
9293,None,Blue Cap,Navy Ether,Mask,Pink,Darker,Long Twintail,Red,None,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,28.563702104911254,9294
9294,Darker Hand Face,None,Dark Formal Shirt,Smile,Green,Darker,Spiky,Dark,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,30.546667576187165,9295
9295,Default Hold,None,Plain Haus Denim,Open,Red,Default,Short Fringe,Dark,None,None,None,None,None,None,Ring,None,None,None,None,Soda,None,None,43.837011470291586,9296
9296,None,None,Light Open Jacket,Mumble,Black,Demon,None,Purple,None,None,Great Sword,None,None,None,None,None,None,None,None,None,Astroskull,None,34.39849213009097,9297
9297,None,Ushanka,Blood Gaiden,A,Blue,Dark,Long Side Swept,Purple,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,27.196122850328873,9298
9298,Default Open R,None,Red Haus Hoodie,Grunt,Silver,Default,Braided Bun,Blue,None,None,None,None,None,None,None,None,None,Smoke Grenade,None,None,None,None,27.413839201124347,9299
9299,None,None,Blood Gaiden,Mumble,Green,Darker,Bob,Light Purple,None,Splatter,Red Excalibur,None,None,None,None,None,None,None,None,None,None,None,29.674057897286055,9300
9300,None,None,Noble Half Yukata,Face Mask,Pink,Fiend,Long Flowy Locks,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.454415558088113,9301
9301,None,HAUS Cap,Brown Street Agent,A,Hazel,Demon,Shag,Green Gray,None,Scar,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,44.356254988617,9302
9302,None,None,Black Haus T-Shirt,Face Mask,Black,Darker,Clean,Light Purple,None,None,Great Sword,None,None,None,None,None,None,None,None,None,None,None,15.494617396881031,9303
9303,None,None,Blue Varsity Jacket,A,Black,Demon,Bowl Cut,Light Purple,None,None,Katana,None,None,None,None,None,None,None,None,None,None,None,16.685053932677842,9304
9304,Default Hold,None,Mono Demon Maiden,Bubblegum,Red,Default,Long Side Swept,White,None,None,None,None,None,None,None,Swords,None,None,None,Revolver,None,None,44.07684208601397,9305
9305,Darker Open L,None,White Drive,Big Smile,Closed,Darker,Short Spiky,Navy,Feathers,None,AK,phase.module [a globe is rolling] v0.03,None,None,None,None,None,None,None,None,None,None,56.31505094797495,9306
9306,None,None,Black Haus T-Shirt,Open,Red,Darker,Straight Headband,Off White,None,Oval Sunglasses,None,None,None,None,None,None,None,None,None,None,None,None,18.09424167128576,9307
9307,None,None,Light Open Jacket,Pout,Pink,Darker,Straight Headband,Green Gray,None,Splatter,None,None,None,None,None,None,None,None,None,None,None,None,18.14463751448716,9308
9308,Default Open R,None,Blood Worshipper,Grunt,Green,Default,Academy,Blue,None,None,None,None,None,None,None,None,None,Apple,None,None,None,None,27.295684928029594,9309
9309,None,None,Skelly Jacket,Grin,Blue,Darker,Side Fringe,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.7817809091448904,9310
9310,Default Hold,None,Yellow Trainer,Big Smile,Hazel,Default,Messy,Green Gray,None,Splatter,None,None,None,None,None,None,None,None,None,Broken Arrow,None,None,42.09962855028541,9311
9311,None,None,Sky Haus Hoodie,Big Smile,Hazel,Darker,Hime Cut,Green Gray,None,None,None,None,Smoke,None,None,None,None,None,None,None,None,None,19.53641763478653,9312
9312,None,None,Blue Bulletproof T-Shirt,Grin,Blue,Darker,Buzz Cut,Dark,None,None,None,None,None,None,None,None,Headphone,None,None,None,None,None,19.482599347803337,9313
9313,None,None,Dark Half Yukata,Mask,Radar,Fiend,Academy,Off White,None,None,None,None,None,None,None,Oni Head,None,None,None,None,None,None,23.140701194807463,9314
9314,Default Hold,None,Brown Koi Tees,Mask,Black,Default,Academy,Purple,None,None,Red Sheathed Katana,None,None,None,None,None,Headphone,None,None,Revolver,None,None,55.065888832156816,9315
9315,Pale Hand Palm,Spacehelm,Blue Racer,Smile,Blue,Pale,Long Flowy Locks,Blue,None,None,None,None,None,None,None,None,Dark Headphone,None,Karambit,None,None,None,59.91297419996907,9316
9316,Default Hand Face,Beanie,Jet Leather Coat,Mask,Pink,Default,Side Fringe,Red,None,None,M4X,None,None,Silence,None,Quiver,None,None,None,None,None,None,68.45692310243112,9317
9317,None,None,Red Asian Top,Mask,Red,Dark,Bob,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2.485245993349899,9318
9318,None,Agent Hat,WAGMI Bomber,Biting Lips,Green,Fiend,Bob,Green Gray,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.847727691913743,9319
9319,Pale Hold,Blue Cap,Shadow Gaiden,Grin,Red,Pale,Twin Bun,Green Gray,None,None,AK,None,None,None,None,None,None,None,None,Soda,None,None,57.1386915492292,9320
9320,Default Hand Palm,None,Red Trainer,Hmm,Silver,Default,Short Ponytail,Blue,None,Stickers,None,None,None,None,None,None,None,None,Karambit,None,None,None,41.61830911703371,9321
9321,Demon Hand ETH,Blue Cap,MURI Hoodie,Toothpick,Pink,Demon,Hime Ponytail,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29.93523897602782,9322
9322,Default Hand Palm,None,White MURI Hoodie,Grunt,Red,Default,Two Block,Light Purple,None,None,None,None,Oni Half Mask,None,None,None,None,None,Karambit,None,None,None,44.22269757418736,9323
9323,Dark Open L,None,Green Yakuza Yukata,Grunt,Closed,Dark,Long Fringe,Blue,None,White Browline Sunglasses,None,phase.module [the generation] v0.02,None,None,None,None,None,None,None,None,None,None,40.518347783232265,9324
9324,Default Hand Palm,None,Dark Half Yukata,Grin,Red,Default,Hime Cut,Off White,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,28.781315164029653,9325
9325,None,None,Raider,Bubblegum,Blue,Demon,Twin Bun,Navy,None,None,Sheathed Katana,None,Goggles,None,None,None,None,None,None,None,None,None,33.303865251025606,9326
9326,Default Hand ETH,None,Dark Techno Biker,Grunt,Silver,Default,Two Block,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.106577442724985,9327
9327,Default Hand Face,None,Dark Haus Denim,Smile,Silver,Default,Long Fringe,Purple,Cash,None,Red Saber,None,None,None,None,None,None,None,None,None,None,None,39.15134523262424,9328
9328,Demon Hand Face,None,Edge Jacket,Grunt,Silver,Demon,Slick Back,Blue,None,None,None,None,None,Fangs,None,Angel Wings,None,None,None,None,None,None,45.55884005680593,9329
9329,None,None,Red Drive,Grin,Silver,Darker,Buzz Cut,Light Purple,None,None,Red Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,15.505068160850117,9330
9330,Fiend Hand Palm,None,Navy Haus T-Shirt,Mumble,Red,Fiend,Long Side Swept,Red,None,None,None,None,None,None,None,None,None,None,Cutter,None,None,None,32.93068276846232,9331
9331,None,None,Red Trainer,Bland,Green,Dark,Bun,Dark,None,None,None,None,None,None,Silver,None,None,None,None,None,None,None,18.066251817969388,9332
9332,None,White Bucket Hat,Serpent Raider,Mumble,Silver,Dark,Straight Headband,Blue,None,Clear Glasses,None,None,None,None,None,None,None,None,None,None,None,None,28.341130614202743,9333
9333,None,None,Red Yakuza Yukata,Censored,Void,Darker,Bowl Cut,Blue,None,Scar 2,Red Saber,None,None,None,None,None,None,None,None,None,None,None,29.955544474977337,9334
9334,Default Hold,Light HAUS Cap,Techno Biker,A,Black,Default,Clean,Blue,None,Browline Glasses,Ninjato,None,None,None,None,None,None,None,None,Revolver,None,None,65.34032223535617,9335
9335,None,None,Dark Worshipper,Mumble,Blue,Darker,Hime Cut,Dark,Feathers,None,Sheathed Katana,None,None,None,None,None,None,None,None,None,None,None,30.66268587714881,9336
9336,None,Bucket Hat,Red Halter,Grin,Red,Darker,Long Locks,Blue,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15.425042364087343,9337
9337,Default Hand Face,None,Red Haus Hoodie,Open,Green,Default,Straight Headband,Green Gray,None,None,None,None,None,Fangs,None,None,None,None,None,None,None,None,28.329576990534296,9338
9338,Default Hold,None,White Haus Hoodie,Smile,Silver,Default,Hime Ponytail,Blue,None,None,Katana,None,None,None,None,None,None,None,None,Soda,None,None,37.463958093560656,9339
9339,Demon Open L,None,Blood Worshipper,Open,Black,Demon,Bob,Light Purple,None,White Browline Sunglasses,Dark Machete,phase.module [created to be loved] v0.01,Oni Half Mask,None,None,None,None,None,None,None,None,None,73.18552271773335,9340
9340,None,None,Green Haus T-Shirt,Open,Silver,Fiend,Long Fringe,Dark,None,Scar,None,None,None,None,None,None,None,None,None,None,None,None,20.157022053696487,9341
9341,Default Hand Face,None,Brown Koi Tees,Grin,Black,Default,Twin Bun,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,12.254360809858806,9342
9342,None,White Bucket Hat,Classic Denim,Open,Black,Darker,Shag,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,17.082872619619565,9343
9343,None,None,Blue Male Yukata,Open,Closed,Darker,Bowl Cut,Blue,None,None,None,None,Dark Side Mask,None,None,None,None,None,None,None,None,None,17.46504098546313,9344
9344,None,None,Red Rebel,Pout,Silver,Darker,Messy,Dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,3.903442137750878,9345
9345,Default Open R,None,Blood Gaiden,A,Void,Default,Long Side Swept,White,None,None,None,None,None,None,None,None,None,Dice,None,None,None,None,30.291398575479022,9346
9346,None,None,Blood Gaiden,Bland,Silver,Dark,Long Locks,White,None,Browline Glasses,Red Saber,None,None,None,None,None,None,None,None,None,None,None,28.22650136804954,9347
9347,None,None,Dark Side Shirt,Toothpick,Black,Dark,Bob,Light Purple,None,None,Shotgun,None,None,None,None,None,None,None,None,None,None,None,14.936745907025395,9348
9348,None,Light HAUS Cap,Raider,A,Blue,Dark,Hime Cut,Blue,None,Stickers,Dark Shotgun,None,None,None,None,None,None,None,None,None,None,None,39.86638471930186,9349
9349,None,None,Raider,Bland,Black,Darker,Bangs Short,Blue,None,Scar,None,None,None,None,None,None,None,None,None,None,None,None,16.405094074233848,9350
9350,None,None,Pretty Half Yukata,Face Mask,Silver,Dark,Twin Bun,Dark,None,None,Sawn-off,None,None,None,None,None,None,None,None,None,None,None,13.965273933120582,9351
9351,Default Hand ETH,None,Mono Side Shirt,Open,Closed,Default,Hime Ponytail,Light Purple,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.512253734747334,9352
9352,None,None,White Sidebelt,Pout,Closed,Demon,Long Side Swept,Off White,None,None,Blue Saber,None,None,None,None,None,None,None,None,None,None,None,16.094226744685212,9353
9353,None,Spacehelm,Bikini,Smile,Eye Cover,Darker,Bangs Short,White,None,None,None,None,None,None,None,None,None,None,None,None,None,None,18.21764384552559,9354
9354,None,None,Light Open Jacket,Bland,Red,Dark,Long Fringe,Red,None,Blood Mark,None,None,None,None,None,None,None,None,None,None,None,None,16.578815928258724,9355
9355,None,White Bucket Hat,Black Haus T-Shirt,Pout,Silver,Fiend,Slick Back,Navy,None,None,None,None,None,None,None,None,None,None,None,None,None,None,19.17348792228144,9356
