,Back,Outfit,Eyes,Head,Mouth,Regiment,Background,Type,Branch,Glasses,Special,Earring,Mask,Marking,Rarity score,Token Id
9356,Rifle Leather,Tactical Vest Camo,Bold Crimson,Mommy ,Fang Smirk,85,Tactical Green,Human,Army,None,None,None,X White Mask,None,50.0686062259215,9356
9357,Rifle Navy Black,Sailor Uniform Okinawa,Bold Iron,Coral ,Plump,72,Ocean Blue,Human,Navy,None,None,None,None,None,8.691824665872739,9357
9358,Spellblade,Street Magus,Tense Fern,Two Block ,Choco Stick,50,Mana Portal,Human,Support,Basic Specs,None,None,None,None,43.26583907497007,9358
9359,Rifle Orange,Urban Street Camo,Frozen Corruption,Celestial Dreamer ,Choco Stick,21,Army,Human,Army,None,None,None,None,None,14.610653015008793,9359
9360,Hunter's Rifle Red,Cyborg,Dark Fern,Arctic Bad Boy,Plump,91,Party Pink,Human,Special Ops,None,None,None,None,None,12.422367648409782,9360
9361,Scepter of Revelations,Summoner Defensive Vest,Glaring Poppy,Stardust BANii,Boo!Boo! Gum,25,Mana Portal,Human,Support,None,None,None,None,None,20.05903184245611,9361
9362,Rifle Custom,Urban Camo,Gazing Wisteria,Windswept Aka,Boo!Boo! Gum,86,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,38.71539862515434,9362
9363,M-16 Heavy Assault Rifle,Able Seaman's Uniform,Frozen Corruption,Hino,Plump,44,Ocean Blue,Human,Navy,Golden Specs,None,None,None,None,34.242143126237664,9363
9364,Rifle Leather,Meka Vest Camo Jungle,,Shrine Maiden ,Plump,82,Tactical Green,Human,Army,None,None,None,None,None,6.4071848260673665,9364
9365,Private Contractor Flight Helmet,Private Contractor Flight Suit,Basic Wisteria,Sagittarius,Saucy Fangs,76,Moonsilver,Human,Astronaut,Aviators Sunset,None,None,None,None,51.68720585953245,9365
9366,MK-14 Amphibious Assault Rifle,Sailor Uniform Osaka,Basic Fern,Short not Sweet Ao,Plump,49,Bluefire,Ao Oni,Navy,Genius Golden,None,None,None,None,53.94552056862839,9366
9367,Rifle Custom,Camo Vest Desert,Tense Iron,Two Block ,Plump,92,Army,Human,Army,Rosy Specs,None,None,None,None,26.03490175109231,9367
9368,Field Medic Kit,Exo-Medicine,Glaring Wisteria,Topknot ,Plump,39,Healing Pulse,Human,Support,None,None,None,None,None,5.929427176645469,9368
9369,V6 Mana Blaster,Spellcaster's Vest,Gazing Wisteria,Kojiroh ,Plump,10,Mana Portal,Human,Support,None,None,None,None,None,5.496751200142662,9369
9370,DEMIURGE Autonomous Pseudo-Priestess System,Potioneer's Assistant,Foxy Fern,Coral ,Saucy Fangs,41,Mana Portal,Human,Support,Genius,None,None,None,None,45.78455065370823,9370
9371,Rifle Orange,Polar,Vexxed Poppy,Topknot ,Plump,12,Army,Human,Army,None,None,None,None,None,1.464757189394106,9371
9372,Cyber Neko Katana,Tactical Jacket Hooded,Caelus,Hime Ponytail,Plump,00,Shadow Reflection,Human,Shinobi,None,None,None,None,None,13.146705346059878,9372
9373,Pilot Wings,Aviator Jacket,Scarred Slumber,Messy Chunin ,Plump,50,Airforce,Human,Airforce,None,None,None,None,None,9.15655106825414,9373
9374,Cyber Reaper,Potioneer,,Black Curtain,Smoke,32,Mana Portal,Human,Support,Aviators Sunrise,None,None,None,None,42.93894559557273,9374
9375,Rifle Charcoal,Black Rose,Glaring Poppy,Short WcVisor,Fang Smirk,26,Ocean Blue,Human,Navy,None,None,None,None,None,20.501216274507687,9375
9376,Rifle Charcoal,Able Seaman's Uniform,Base Fern,Speedster Ao,Fang Smirk,26,Bluefire,Ao Oni,Navy,Rosy Aviators,None,None,None,None,64.8783339596777,9376
9377,Assault Rifle Khaki,Mach-3 Utility Jacket Jungle,Curious Iron,Twintails,Fang Smirk,45,Airforce,Human,Airforce,Ornate Violet,None,None,None,None,44.374457658985065,9377
9378,Rifle Orange,Frogsplash Jungle,Scarred Slumber,Two Block Aka,Choco Stick,86,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,38.987828930158386,9378
9379,Rifle Orange,Tactical Woodlands,Vexxed Iron,Eth-ore,Plump,62,Army,Human,Army,None,None,None,None,None,1.9070410155992903,9379
9380,Rifle Medic,Field Medic,Basic Fern,Chocolate Ao,Plump,18,Bluefire,Ao Oni,Support,None,None,None,None,None,24.94232552350661,9380
9381,Rifle Primitive,Meka Vest Camo Jungle,Bold Crimson,Chainwhip Ao,Boo!Boo! Gum,48,Bluefire,Ao Oni,Army,None,None,None,None,None,39.67361725365236,9381
9382,Rifle Black Ammo,Gun BANii,Tranquil Sea,Forest Fire Ao,Plump,48,Bluefire,Ao Oni,Airforce,None,None,None,None,None,30.079249572501283,9382
9383,Pilot Wings,Tactical Flight Armor,Peridot Rebel,Kojiroh,Plump,44,Airforce,Human,Airforce,Monocle,None,None,None,None,33.924825764602076,9383
9384,Assault Rifle Khaki,Fighter Pilot Turtle,Tense Fern,Bozo Alby,Saucy,25,Airforce,Human,Airforce,None,None,None,None,None,23.443034758488114,9384
9385,Rifle Navy Grey,Fur Lined Captain's Armor,Basic Wisteria,Chainwhip,Choco Stick,53,Ocean Blue,Human,Navy,None,None,None,None,None,20.837617568436087,9385
9386,Yumiya,Master,Base Iron,Messy Chunin ,Fang Smirk,26,Crimson Records,Human,Historical,Golden Specs,None,None,None,None,43.637436245162284,9386
9387,First Aid Kit,Urban Operations,Gazing Wisteria,Service WcSnapback,Choco Stick,35,Healing Pulse,Human,Support,Rosy Specs,None,None,None,None,43.637612556177466,9387
9388,R-H00D Compound Red,Red Snapper,Cheeky Fern,Stardust ,Plump,98,Party Pink,Human,Special Ops,None,None,None,None,None,11.925579932235882,9388
9389,Sashimono Red Dawn,Jiangshi,Foxy Fern,Fractured Emerald Aka,Plump,64,Flaming Hibisucus,Aka Oni,Historical,Architect Black,None,None,None,None,55.51252593043783,9389
9390,None,None,None,None,None,05,TAINTED,Human,Support,None,Epic,None,None,None,54.48378886606697,9390
9391,Rifle Custom,Parade Fur,Wary Crimson,Kojiroh ,Choco Stick,50,Army,Human,Army,All-Seeing Shades,None,None,None,None,39.301590211756725,9391
9392,Rifle Blue,Flame Punk,Tense Fern,Block WcVisor,Smoke,78,Army,Human,Army,Golden Specs,None,None,None,None,39.83673141563978,9392
9393,Rifle Orange,Urban Street Camo,Gazing Russet,Kojiroh ,Choco Stick,69,Army,Human,Army,None,None,None,None,None,14.040204066890736,9393
9394,Rifle Black Ammo,Tactical Vest Jungle,Sapphire Highlights,Twintails,Plump,90,Airforce,Human,Airforce,None,None,None,None,None,9.29427625318747,9394
9395,Sashimono Orca,Jiangshi,Basic Fern,Chainwhip,Plump,06,Crimson Records,Human,Historical,None,None,None,None,None,8.522009310896724,9395
9396,First Aid Kit,Nurse Set,Lined Russet,Mommy ,Fang Smirk,08,Healing Pulse,Human,Support,None,None,None,None,None,17.66514311059733,9396
9397,Rifle Navy Grey,Sailor Uniform Fukushima,Solar,Captain's Cap,Plump,70,Ocean Blue,Human,Navy,None,None,None,None,None,9.214203273631497,9397
9398,"Long Range Comms Set Mark II, N",Frontier XIV Non-Powered EVA Suit,Vexxed Iron,Greater Kojiroh Aka,Lollipop,49,Flaming Hibisucus,Aka Oni,Astronaut,None,None,None,None,None,46.88687899340212,9398
9399,Rifle Red Ammo,Stealth Vest Camo,Smug Fern,Cyber Neko,Choco Stick,12,Army,Human,Army,None,None,Comms Azure Over-ear,None,None,46.680948803767635,9399
9400,Hunter's Rifle Forest,Mr. Scientist,Peridot Rebel,Fresh Recruit,Plump,46,Party Pink,Human,Special Ops,None,None,None,None,None,12.310195197725374,9400
9401,Twin Cyber Sais,Decorated Chunin Garb,Glaring Poppy,Messy Chunin ,Fang Smirk,55,Shadow Reflection,Human,Shinobi,None,None,None,None,None,23.847082756657635,9401
9402,Rifle Navy Gray,Naval Academy Uniform,Wary Crimson,Two Block ,Fang Smirk,71,Ocean Blue,Human,Navy,None,None,None,None,None,19.857046143645558,9402
9403,Rifle Custom,Combat Stealth,Gazing Russet,Celestial Dreamer ,Plump,36,Army,Human,Army,None,None,None,None,None,0.8077221933458745,9403
9404,Katana Silver,Apprentice,Blithe Russet,Mewsashi WcVisor,Lollipop,21,Crimson Records,Human,Historical,None,None,None,None,None,23.350136998828567,9404
9405,Combat Scalpel,Combat Surgeon,Doe Poppy,Field Aid Cap,Plump,25,Wings of Hope,Human,Support,None,None,None,None,None,8.685809521472843,9405
9406,Rifle Navy Grey,Sailor Uniform Fukushima,Solar,Mommy,Full Kiss,49,Ocean Blue,Human,Navy,None,None,None,None,None,23.244325310883575,9406
9407,Rifle Navy Black,Fur Lined Captain's Armor,Cheeky Fern,Skunk Pony,Fang Smirk,39,Ocean Blue,Human,Navy,Ornate Violet,None,None,None,None,44.56994855856809,9407
9408,Hunter's Rifle Red,Midnight Raven,Duality,Loose Strand ,Plump,13,Party Pink,Human,Special Ops,None,None,None,None,None,12.220476538964634,9408
9409,Sashimono Glacial,Master,Frozen Corruption,Greater Topknot Ao,Plump,05,Bluefire,Ao Oni,Historical,None,None,None,None,None,30.778011109884307,9409
9410,Katana Black Kiss,Sode Hoodie,Dark Crimson,Elvis Presto,Fang Smirk,58,Crimson Records,Human,Historical,Aviators,None,None,None,None,45.00579371370693,9410
9411,Rifle Red Ammo,Military Street Jungle,Periwinkle,Green Beret,Plump,38,Tactical Green,Human,Army,None,None,None,None,None,7.477610205030241,9411
9412,Rifle Orange,Camo Vest Desert,Base Iron,Bush Hat Jungle,Fang Smirk,72,Army,Human,Army,None,None,None,None,None,12.239178960264667,9412
9413,Scepter of Revelations,Street Magus,Vexxed Poppy,Hino Ao,Plump,87,Bluefire,Ao Oni,Support,None,None,None,None,None,26.720981156784045,9413
9414,Katana Black,Sleeveless Vest Mauve,Bold Crimson,Bobcut Aka,Fang Smirk,93,Flaming Hibisucus,Aka Oni,Shinobi,None,None,None,None,None,43.39723459462937,9414
9415,Tech Shuriken,Tactical Vest Bone,Gazing Wisteria,Chinobi Tech,Plump,86,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.557013128873551,9415
9416,Crown Staff,Crimson Shell Armor,Basic Wisteria,Side Pony ,Plump,52,Mana Portal,Human,Support,None,None,None,None,None,4.560816112353594,9416
9417,Rifle Khaki,High Admiral's Longcoat,Base Iron,Bosun,Plump,48,Ocean Blue,Human,Navy,None,None,None,None,None,8.294494910596361,9417
9418,R-H00D Compound Red,Midnight Raven,Vexxed Poppy,Greased Aka,Boo!Boo! Gum,55,Flaming Hibisucus,Aka Oni,Special Ops,Basic Specs,None,None,None,None,70.31277598538847,9418
9419,Rifle Medic,Heavy Duty,Wary Russet,Arctic Curtain,Plump,78,Healing Pulse,Human,Support,None,None,None,None,None,5.769076653168994,9419
9420,Whaler's Harpoon,Storm Captain's Mantle,Vexxed Poppy,High Admiral's Cap,Fang Smirk,73,Ocean Blue,Human,Navy,Aviators,None,None,None,None,45.14045104346893,9420
9421,Rifle Navy Grey,Sailor Uniform Tokyo,Lined Russet,Twintails,Full Kiss,47,Ocean Blue,Human,Navy,None,None,None,None,None,22.853353120511695,9421
9422,None,None,None,None,None,17,TAINTED,Human,Support,None,Epic,None,None,None,54.483789507013554,9422
9423,Ornamental Broadsword,Oni Seifuku Shiro,Lined Russet,Rebel Girl ,Smoke,45,Crimson Records,Human,Historical,None,None,None,None,None,22.513728488209622,9423
9424,Assault Rifle Khaki,Flight Suit Olive,Basic Fern,Stardust Aka,Plump,83,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,28.742954708602618,9424
9425,Assault Rifle Khaki,Mach-3 Utility Jacket Jungle,Basic Wisteria,Stardust ,Plump,97,Airforce,Human,Airforce,Aviators Sunrise,None,None,None,None,32.20704344289189,9425
9426,Chef's Rusty Pan,Staff WcUniform,Smug Fern,Huntress,Plump,63,Golden Hex,Human,Support,Starstruck Blue,None,None,None,None,32.643266874138426,9426
9427,Rifle Red Ammo,Locked n' Loaded,Emerald Crescent,Shrine Maiden Ao,Plump,89,Bluefire,Ao Oni,Army,None,None,None,None,None,25.67621591297141,9427
9428,Rifle Heavy,Tactical Flight Armor,Wary Crimson,Topknot Aka,Choco Stick,84,Flaming Hibisucus,Aka Oni,Airforce,None,None,None,None,None,42.58962109566949,9428
9429,Rifle Primitive,Utility Vest Camo Red,Foxy Fern,Maegami,Plump,36,Army,Human,Army,None,None,None,None,None,2.3012612446470118,9429
9430,Yumiya,Kimono Hibuscus,Basic Wisteria,Tanuki,Choco Stick,95,Crimson Records,Human,Historical,Clear Specs,None,None,None,None,45.71395952952877,9430
9431,The Reaper,Sleeveless Vest Mauve,Coy Wisteria,Frostbite,Plump,50,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.87748876508849,9431
9432,WcSpatula,Drive-Through,Gazing Wisteria,Topknot ,Smoke,08,Golden Hex,Human,Support,Lexington Clear,None,None,None,None,44.95797757690252,9432
9433,Crown Staff,Vest of Shielding,Lined Russet,Arcane Royal,Plump,20,Mana Portal,Human,Support,None,None,None,Black Racer Mask,None,37.4396290035543,9433
9434,Parachute,Fighter Pilot Turtle,Base Fern,Messy Chunin ,Plump,24,Airforce,Human,Airforce,All-Seeing Shades,None,None,None,None,32.59488493851717,9434
9435,Cyber Reaper,Serpent Shell Armor,Lined Russet,Cashier WcVisor,Fangs Out,03,Mana Portal,Human,Support,None,None,None,None,None,20.305719925776426,9435
9436,Side of Fries,Server's WcUniform,Coy Crimson,Braid WcHeadset,Plump,21,Golden Hex,Human,Support,None,None,None,None,None,8.009514269458412,9436
9437,Dual Katanas Black,Do Kimono,Basic Wisteria,Bozo Mommy,Plump,25,Crimson Records,Human,Historical,None,None,None,X Black Mask,None,40.2019092084455,9437
9438,EVA Helmet,Frontier XIV Non-Powered EVA Suit,Gazing Wisteria,Spiky Aka,Smoke,73,Flaming Hibisucus,Aka Oni,Astronaut,None,None,None,None,None,45.6947903204056,9438
9439,Carbine Black,Fur Lined Turtle,Curious Russet,Regal Maiden,Tasty,61,Airforce,Human,Airforce,None,None,None,None,None,23.619273417670726,9439
9440,Katana Black,Tactical Overalls Polar,Basic Fern,Bunny Girl,Fang Smirk,67,Shadow Reflection,Human,Shinobi,Architect Clear,None,None,None,None,47.579180670506815,9440
9441,Sashimono Red Dawn,Sleeveless Kimono,Periwinkle,Fractured Emerald Aka,Plump,59,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,30.829275296327346,9441
9442,Combat Scalpel,Surgeon General,Foxy Fern,Hime Ponytail,Plump,97,Healing Pulse,Human,Support,None,None,None,None,None,6.105637299020042,9442
9443,Unicorn Blast,Dropzone Down Jacket Red,Basic Wisteria,Angry Bunny,Plump,40,Peach Fuzz,Human,Special Ops,None,None,None,None,None,12.75905557247104,9443
9444,Rifle Red Ammo,Tactical Overalls,Acid,Canine Lupis,Plump,87,Army,Human,Army,None,None,None,None,None,2.0736634918494268,9444
9445,Rifle Charcoal,Black Rose,Base Fern,Topknot WcVisor,Popsicle,80,Ocean Blue,Human,Navy,None,None,None,None,None,22.433618625388394,9445
9446,Ornamental Cutlas,Jiangshi,Coy Wisteria,Oriental Hat,Plump,35,Crimson Records,Human,Historical,None,None,None,None,None,9.541142610755223,9446
9447,Rifle Heavy,Military Street,Gazing Russet,Bozo Sharky,Fang Smirk,33,Army,Human,Army,None,None,None,None,None,12.409070315021676,9447
9448,DEMIURGE Autonomous Pseudo-Priest System,Survival Suit Polar,Base Iron,Messy Chunin ,Pog,17,Mana Portal,Human,Support,None,None,None,None,None,19.321915538528646,9448
9449,Ornamental Sword,Jiangshi,,Shrine Maiden,Saucy,97,Crimson Records,Human,Historical,Architect Clear,None,None,None,None,47.96668140996944,9449
9450,Rifle Stock Custom Orange,Light Armor Desert Camo,Curious Russet,Cumula,Plump,23,Army,Human,Army,None,None,None,None,None,2.3621711090147715,9450
9451,Rifle Black Ammo,Tactical Flight Jacket Olive,Foxy Crimson,Hime Ponytail,Plump,23,Flashbang,Human,Airforce,Evil Darkness,None,None,None,None,36.136225974014344,9451
9452,Rifle Scorpion Polar,Sailor Uniform Osaka,Smug Poppy,Side Pony ,Lollipop,65,Ocean Blue,Human,Navy,None,None,None,None,None,22.494491943711434,9452
9453,Rifle Stock Custom Green,Urban Street Camo,Basic Fern,Green Dragon,Plump,55,Army,Human,Army,Starstruck Pink,None,None,None,None,25.522119442485796,9453
9454,Rifle Red Ammo,Locked n' Loaded,Basic Wisteria,Swept Mohawk,Fang Smirk,10,Army,Human,Army,None,None,None,None,None,12.02125510282881,9454
9455,Carbine Black,Flight Suit Olive,Coy Crimson,Bozo Banger,Pog,72,Airforce,Human,Airforce,None,None,None,None,None,23.46544783184959,9455
9456,Rifle Red,Tracksuit Snood Desert,Wary Crimson,Mewsashi,Smoke,76,Army,Human,Army,Monocle,None,None,None,None,39.083645841541134,9456
9457,Rifle Scorpion Polar,Sailor Stripes,Coy Wisteria,Bozo Goth Babe,Plump,74,Ocean Blue,Human,Navy,None,None,None,None,None,8.913015796355564,9457
9458,Rifle Navy Grey,Sailor Uniform Osaka,Smug Fern,Submariner's Mask,Plump,87,Ocean Blue,Human,Navy,None,None,None,None,None,8.948203630670458,9458
9459,Combat Scalpel,Field Medic,Coy Wisteria,Oritsu,Plump,44,Healing Pulse,Human,Support,None,None,None,None,None,6.233856277940094,9459
9460,Field Medic Kit,Bulwark Exo,Base Fern,Speedster Ao,Choco Stick,47,Bluefire,Ao Oni,Support,None,None,None,None,None,38.878892971510936,9460
9461,Frontier XVII-A Powered EVA Helmet,Armored Insulated Ground Suit,Wary Crimson,Brozo,Fangs Out,67,Moonsilver,Human,Astronaut,None,None,None,None,None,28.03234032982979,9461
9462,Rifle Heavy,Camo Vest Polar,Dark Fern,Greater Mewsashi Aka,Lollipop,75,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,39.55503722040669,9462
9463,Rifle Scorpion Polar,Sailor Uniform Tokyo,Doe Poppy,Huntress Ao,Plump,80,Bluefire,Ao Oni,Navy,Aviators Sunrise,None,None,None,None,54.547921840818304,9463
9464,Rifle Custom,Camo Vest Desert,Wary Crimson,Arctic Curtain,Popsicle,44,Army,Human,Army,None,None,None,None,None,15.594538519298787,9464
9465,Rifle Custom,Flame Punk,Wary Crimson,Bedhead Ao,Plump,78,Bluefire,Ao Oni,Army,Mad Scientist,None,None,None,None,49.988121638333034,9465
9466,Crown Staff,Crimson Shell Armor,Bold Iron,Horse Girl,Plump,92,Mana Portal,Human,Support,None,None,None,None,None,5.291531569952499,9466
9467,Rifle Khaki,Able Seaman's Uniform,Scarred Slumber,Swept Back Aka,Choco Stick,04,Flaming Hibisucus,Aka Oni,Navy,None,None,None,None,None,43.31063445412347,9467
9468,Cyber Reaper,Battle Mage,Lined Russet,Fractured Emerald Aka,Plump,13,Flaming Hibisucus,Aka Oni,Support,None,None,None,None,None,26.39405209322412,9468
9469,Rifle Blue,Polar,Base Fern,Kojiroh Ao,Plump,43,Bluefire,Ao Oni,Army,Rosy Aviators,None,None,None,None,49.151774989406675,9469
9470,Combat Scalpel,Hazard Zone,Base Fern,:Black Wolf,Plump,25,Healing Pulse,Human,Support,None,None,None,None,None,5.612130640689311,9470
9471,Sashimono Red Dawn,Student,Dark Fern,Delinquent,Choco Stick,73,Crimson Records,Human,Historical,None,None,None,None,None,22.545779865445528,9471
9472,Rifle Heavy,Kevlar BANii,Relaxed,Bozo Chad,Popsicle,36,Army,Human,Army,None,None,None,None,None,16.4214328048541,9472
9473,M16 Heavy Assault Rifle Red,Magician's Assistant,Smug Poppy,Shrine Maiden,Smoke,40,Party Pink,Human,Special Ops,None,None,None,None,None,25.622404113755675,9473
9474,Rifle Black Ammo,Tactical Flight Jacket Olive,Lined Russet,Gun BANii Ascended,Plump,23,Airforce,Human,Airforce,None,None,None,None,None,9.15006107971724,9474
9475,Crown Staff,Potioneer's Assistant,Caelus,Charming Sorceress,Plump,27,Mana Portal,Human,Support,None,None,None,None,None,6.2209362711513245,9475
9476,Spellblade,Spellcaster's Vest,Vexxed Iron,Wild Tiger Ao v2,Fang Smirk,97,Bluefire,Ao Oni,Support,None,None,None,None,None,37.80857690427094,9476
9477,Ornamental Sword,Kimono Blue Orchid,Tranquil Sea,Chainwhip Aka,Plump,49,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,30.76838626923053,9477
9478,Rail Gun,Arctic Magus,Gazing Wisteria,Delinquent,Popsicle,25,Mana Portal,Human,Support,None,None,None,None,None,19.482180124387487,9478
9479,Rifle Stock Custom Green,Military Street Jungle,Bold Crimson,Blonde Bombshell,Smoke,83,Army,Human,Army,None,None,None,None,None,15.302940612551547,9479
9480,V6 Mana Blaster,Mana Integration SVS,Tense Iron,Two Block ,Plump,26,Mana Portal,Human,Support,None,None,None,None,None,5.855681306115218,9480
9481,Rifle Primitive,Tactical Parade Fur,Tranquil Sea,Shrine Maiden,Lollipop,74,Army,Human,Army,None,None,None,None,None,16.216331170206804,9481
9482,E.M.U. Helmet,E.M.U,Curious Iron,Horse Girl,Fang Smirk,31,Moonsilver,Human,Astronaut,None,None,None,None,None,24.4463340849382,9482
9483,Carbine Black,Fur-Lined Aviator Olive,Bold Iron,Tanuki WcHeadset,Fang Smirk,26,Airforce,Human,Airforce,None,None,None,None,None,20.08773867514012,9483
9484,Yumiya,Blue Diamond,Bold Iron,Horse Girl,Plump,59,Crimson Records,Human,Historical,None,None,None,None,None,8.900145172890538,9484
9485,Rifle Medic,Field Medic,Foxy Crimson,Stardust ,Plump,74,Healing Pulse,Human,Support,None,None,None,None,None,5.89725908632878,9485
9486,Rifle Heavy,Parade Fur,Base Fern,Topknot ,Plump,05,Army,Human,Army,None,None,None,None,None,0.5385732716718047,9486
9487,Rifle Custom,Urban Camo,Tense Iron,Windswept,Popsicle,08,Army,Human,Army,None,None,None,None,None,15.713110861398768,9487
9488,Rail Gun,Survival Suit Polar,Base Iron,Mewsashi,Plump,23,Mana Portal,Human,Support,None,None,None,None,None,4.778835196759103,9488
9489,Pilot Wings,Aviator Jacket,Vexxed Iron,Bozo Chad,Lollipop,82,Airforce,Human,Airforce,None,None,None,None,None,23.379012473356152,9489
9490,Katana Burgundy Kiss,Teacher,Glaring Wisteria,Loose Strand ,Plump,46,Crimson Records,Human,Historical,None,None,None,None,None,8.653390399906405,9490
9491,Rifle Custom,Camo Vest Polar,Duality,Kojiroh,Tasty,63,Tactical Green,Human,Army,None,None,None,None,None,21.905198232024965,9491
9492,Rifle Red,Kevlar BANii,Blithe Poppy,Henti,Plump,87,Army,Human,Army,None,None,None,None,None,1.2371623251585298,9492
9493,Yumiya,Jiangshi,,Bobcut Aka,Fang Smirk,92,Flaming Hibisucus,Aka Oni,Historical,None,None,None,None,None,40.916938062775834,9493
9494,Parachute,Aviator Jacket,Dark Crimson,Arctic Curtain,Plump,82,Airforce,Human,Airforce,None,None,None,None,None,9.217408353312194,9494
9495,Rifle Stock Custom Orange,Military Street Polar,Basic Wisteria,Fractured Emerald Aka,Plump,69,Flaming Hibisucus,Aka Oni,Army,None,None,None,None,None,25.03212271909599,9495
9496,Katana Burgundy Kiss,Kimono Ichimatsu Checkered Blue,Dark Crimson,Windswept,Plump,73,Crimson Records,Human,Historical,None,None,None,None,None,9.432175231715677,9496
9497,Frontier XVII-A Powered EVA Helmet,"Frontier XVII-A Powered EVA Suit, Refit",Vexxed Iron,Spiky Aka,Fang Smirk,85,Flaming Hibisucus,Aka Oni,Astronaut,None,None,None,None,None,44.15026343076798,9497
9498,Makimono Katana Smiley Suprise,Armoured Overalls Black,Dark Crimson,0xBunnies,Plump,56,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.973629755079996,9498
9499,HELLFIRE Support Drones,Magenta Shell Armor,Foxy Fern,Shrine Maiden Aka,Plump,64,Flaming Hibisucus,Aka Oni,Support,Genius Golden,None,None,None,None,51.78906885910406,9499
9500,Spellblade,Street Magus,Blithe Poppy,Bozo Sharky,Plump,85,Mana Portal,Human,Support,None,None,None,None,None,5.8556540524092835,9500
9501,Hunter's Rifle Forest,Cyborg,Gazing Wisteria,Greater Swept Back Aka,Plump,50,Flaming Hibisucus,Aka Oni,Special Ops,None,None,None,None,None,31.364411049426543,9501
9502,Parachute,Aviator Jacket Bare,Tense Iron,Service WcVisor,Fangs Out,16,Airforce,Human,Airforce,None,None,None,None,None,23.82121935347209,9502
9503,Dual Katanas Black Gold,Blue Diamond,Bold Iron,Bobcut,Lollipop,15,Crimson Records,Human,Historical,None,None,None,None,None,22.69634234938601,9503
9504,Katana Black Gold,Tactical Overalls Polar,Coy Crimson,Chainwhip,Plump,15,Shadow Reflection,Human,Shinobi,None,None,None,None,None,12.87748331572691,9504
9505,Rifle Heavy,Camo Vest Polar,Glaring Poppy,Stardust Galaxy,Saucy,43,Army,Human,Army,None,None,None,None,None,16.572045944126714,9505
9506,Combat Scalpel,Medic's Flak Jacket,Caelus,Black Rose,Boo!Boo! Gum,89,Healing Pulse,Human,Support,None,None,None,None,None,20.501285849960087,9506
9507,Cyber Reaper,Magenta Shell Armor,Coy Wisteria,Bewitching Enchantress,Fang Smirk,81,Mana Portal,Human,Support,None,None,None,None,None,16.97282313533163,9507
9508,Rifle Blue,Urban Security,Blithe Russet,Kaminari,Popsicle,55,Army,Human,Army,None,None,None,None,None,15.850940255514267,9508
9509,Rifle Navy Grey,Sailor Uniform Tokyo,Periwinkle,Bobcut Ao,Choco Stick,69,Bluefire,Ao Oni,Navy,None,None,None,None,None,42.93245274620812,9509
9510,Rifle Navy Gray,Storm Captain's Mantle,Gazing Wisteria,Delinquent,Lollipop,79,Ocean Blue,Human,Navy,None,None,None,None,None,22.321447137581693,9510
9511,Unicorn Blast,Red Snapper,Smug Poppy,Huntress Ao,Fang Smirk,24,Bluefire,Ao Oni,Special Ops,None,None,None,None,None,42.791552602314624,9511
9512,Rifle Navy Grey,Sailor Uniform Fukushima,Smug Fern,Night Shift,Fang Smirk,62,Ocean Blue,Human,Navy,None,None,None,None,None,19.921100486133845,9512
9513,Twin Cyber Sais,Armoured Overalls Black,Gazing Russet,Loose Strand ,Plump,21,Shadow Reflection,Human,Shinobi,None,None,None,None,None,11.976925237427864,9513
9514,TERRAPIN Multi-Purpose Support Drones,Private Contractor Flight Suit,,Cashier WcHeadset,Choco Stick,28,Moonsilver,Human,Astronaut,None,None,None,None,None,25.92686784294876,9514
9515,Assault Rifle Khaki,Mach-3 Utility Jacket Jungle,Basic Fern,Mommy ,Plump,54,Airforce,Human,Airforce,None,None,None,None,None,7.903373957965434,9515
9516,Rifle Camo Polar,Able Seaman's Uniform,Scarred Slumber,Henti,Plump,73,Ocean Blue,Human,Navy,None,None,None,Kuro Kuna,None,40.730693471872286,9516
9517,Dual Katanas Black Gold,Jiangshi,Tranquil Sea,Coral ,Plump,49,Crimson Records,Human,Historical,None,None,None,None,None,9.460977933453739,9517
9518,Rifle Stock Custom Green,Locked n' Loaded,Basic Fern,Golden Wave,Plump,20,Army,Human,Army,Ornate Violet,None,None,None,None,25.666357058544648,9518
9519,Rifle Navy Black,Sailor Uniform Osaka,Curious Iron,Black Curtain,Plump,36,Ocean Blue,Human,Navy,None,None,None,None,None,8.800789477214693,9519
9520,Combat Scalpel,Life Guard,Gazing Russet,Hino,Plump,58,Healing Pulse,Human,Support,Aviators,None,None,None,None,30.188383649850596,9520
9521,Sashimono Glacial,Oni Seifuku Kuro,Doe Russet,Bozo Banger,Plump,80,Crimson Records,Human,Historical,None,None,None,None,None,9.852004627966263,9521
9522,Rifle Medic,Hazard Zone,Blithe Russet,Bozo Sharky,Choco Stick,99,Healing Pulse,Human,Support,None,None,None,None,None,18.978949551118195,9522
