,Dance,Music,Background,Expression,Ears,Nose,Mouth,Head,Neck,Top,Eyewear,Eyes,Fur,Sex,Rarity score,Token Id
9303,Side To Side,Let It Go,Markets,Smile,,Steel Ring,Lip Piercings,,Bowtie (Red),,Star Glasses,Mandala,Grey,Female,62.71848282944647,9303
9304,Big Nod,Shadows,Fluf Haus LA 2022,Mouth Open (Right),Steel Studs,,Pipe,Beanie,Lei,FLUF Jacket,,Brown,Guernica,Male,43.941247712031654,9304
9305,Side To Side,What the FLUF,Mansion,Mouth Open (Middle),,Clown Nose,Whistle,,Dog Tags,FLUF Jacket,,Portal,Avatar,Male,44.11981756184475,9305
9306,Subtle Nod,Back in the Burrow,Tiki,Mouth Open (Left),Bandaged,Gold Stud,Lollipop,Cowboy Hat,Bone Necklace,,,Blue,Black & White,Male,43.60035251147165,9306
9307,Bob,Reggae Rabbits,Beach,Wonder,Steel Rings,Bull Ring,,Tennis Hat,,,,Green,Red,Male,19.591681390404382,9307
9308,Groove,Lucky Foot,Fluf Haus LA 2022,Blank,Steel Studs,,,Mullet (Black),Headphones,,,Blue,Blue Blood,Female,38.101710958750076,9308
9309,Bob,Let The Story Begin,Fluf Haus LA 2022,Mouth Open (Left),Gold Studs,Bull Ring,Party Horn,Mullet (Base),,,Bug Eye Glasses,Blue,Cheetah,Female,71.69334336954746,9309
9310,Side To Side,Beyond the Gates,Garden,Mouth Open (Middle),Gold Rings,,Mooncrust Pizza,Cowboy Hat,Collar (Black),,Aviators,Glowing White,Black & White,Female,75.31237860898852,9310
9311,Round,Space Fluffle,Pass,Mouth Open (Right),Steel Rings,,Cigarette,Flower Crown,Bowtie (Red),High Vis Vest,,Green,Grinch,Male,36.51576848344064,9311
9312,Groove,Ear Wobbler,FTW (F*ck The War),Anger,Gold Bows,,,Conical Hat,,Boob Tube,,Brown,Brown,Female,39.700847730845474,9312
9313,Subtle Nod,Electric Carrots,Pass,Mouth Open (Middle),,Gold Ring,Pacifier,FLUF Cap,Collar (Black),Dress,,Reptile (White),Grey,Female,67.48594621877668,9313
9314,Big Nod,FLUF You Up,Tiki,Mouth Open (Left),,Clown Nose,Lollipop,Tuft (Base),Bowtie (Gold),,,Brown,Blue Blood,Male,33.85406566109742,9314
9315,Groove,Dubhop,Dunes,Mouth Open (Left),Steel Rings,Steel Stud,Lollipop,Sombrero,Collar (Pink),,,Cat (Blue),Darkness,Female,57.88183361766425,9315
9316,Bob,Coffee and Carrots,Tiki,Mouth Open (Middle),,Bull Ring,Whistle,Sombrero,Glowstick Necklace,,Aviators,Brown,Honeycomb,Male,53.544981681745305,9316
9317,Side To Side,Hop On By,Beach,Anger,Steel Rings,,Lollipop,Sombrero,,Pink Jacket,Dive Goggles,Thirties,Hawk,Male,58.31662389768392,9317
9318,Groove,I Like to Party,The Front,Blank,FLUF Tag,Bull Ring,Lipstick,,,High Vis Vest,,Heart (Blue),Smoothie,Female,51.49187465622794,9318
9319,Side To Side,Dubhop,Heaven,Blank,,,,Beer Hat,Dog Tags,Leather Vest,,Red,Sandy,Male,24.180316379608886,9319
9320,Side To Side,Coffee and Carrots,Lambo,Grin,Steel Rings,,,Pirate Hat,VIP lanyard,Black FLUF Singlet,Shutter Glasses,Green (Dilated),Black & White,Male,59.87884399923248,9320
9321,Groove,Electric Carrots,Backalley,Smile,Red Ribbon,Steel Stud,,,Greenstone,Dress,Round Glasses,Brown,Candy Floss,Female,76.08710559530418,9321
9322,Side Nod,Electric Carrots,The Wall,Blank,,,Medical Mask,Sombrero,Gold Chain,,,Cat (Blue),Tiger,Female,43.547235942128474,9322
9323,Subtle Nod,Beyond the Gates,Gallery,Blank,Diamond Studs,Bone,,Devil Horns,,High Vis Vest,,Purple,Grey,Female,49.57631058054412,9323
9324,Subtle Nod,Dubhop,Lambo,Blank,,Gold Stud,,Mullet (Black),,,Sunglasses,Green,Cheetah,Male,27.02066940032712,9324
9325,Side To Side,Desert Digging,Dunes,Mouth Open (Middle),,Clown Nose,Whistle,,Bowtie (Red),,,Heart (Blue),Grey,Male,25.397938089740734,9325
9326,Bob,Hop On By,Tiki,Mouth Open (Left),Steel Rings & Studs,,Lollipop,FLUF Cap,,Digital Camo Singlet,,Cat (Brown),Peppermint,Male,36.678008170493825,9326
9327,Round,Follow You,Beach,Mouth Open (Right),Gold Studs,Steel Stud,Cigar,Beanie,Collar (Pink),,,Cat (Brown),Zebra,Female,55.28535652149338,9327
9328,Round,Electric Carrots,Dancing in the Shroomlight,Mouth Open (Right),Steel Rings,,Joint,,Bowtie (Red),White Singlet,,Heart (Red),Grey,Female,45.855882897861896,9328
9329,Bob,Higher,FLUF Haus Miami 2021,Mouth Open (Right) + Wink,,Bone,Cigarette,Gold Cap,Lei,,,Thirties,Darkness,Male,40.87796765449267,9329
9330,Subtle Nod,Disco Rabbit,Dunes,Anger,,Steel Ring,Lipstick,Conical Hat,,Dress,Heart Glasses,Brown,Sandy,Female,70.8128081408294,9330
9331,Side To Side,I Love FLUF,Tiki,Mouth Open (Right) + Wink,Steel Studs,,Cigarette,,VIP lanyard,Kimono,,Heart (Red),Cow,Male,41.56768872891661,9331
9332,Side To Side,All I Need,Spaceship,Blank,Red Ribbon,Gold Stud,,Tuft (Base),Collar (Pink),,,Hypnotic,Orange,Female,52.022823907152485,9332
9333,Groove,Beyond the Gates,Mystic Valley,Sad,,Gold Ring,,Halo,Greenstone,Black FLUF Singlet,,Fire,Bully,Male,47.1510269541897,9333
9334,Side To Side,Back in the Burrow,Dunes,Smile,Gold Rings & Studs,Steel Ring,,Mohawk (Black),Headphones,,Bug Eye Glasses,Brown,Peppermint,Male,55.979667903798905,9334
9335,Bob,Back in the Burrow,Garden,Mouth Open (Right) + Wink,,,Joint,Flower Crown,Collar (Black),,Speed Glasses,Brown,Hawk,Male,43.4217177344548,9335
9336,Big Nod,Follow You,Gallery,Mouth Open (Right),,Gold Ring,Cigar,,Dog Tags,White Singlet,,Fire,Brown,Male,34.986099567066525,9336
9337,Groove,Messiah,After Party,Mouth Open (Right),,,Carrot,Beanie,Greenstone,Dress,Dive Goggles,Green,Tie Dye,Male,54.35652145061426,9337
9338,Bob,Ear Wobbler,Gallery,Mouth Open (Middle),Steel Studs,Gold Ring,Whistle,Army Helmet,Collar (Pink),Dress,,Thirties,Guernica,Male,62.73142910124988,9338
9339,Subtle Nod,Dubhop,Tiki,Mouth Open (Right),Steel Rings,,Pipe,,Peace Necklace,Yellow Rabbit Singlet,,Red,Marshmellow,Male,32.8558276892627,9339
9340,Side To Side,What the FLUF,Beach,Mouth Open (Right),Steel Studs,Steel Ring,Cigarette,FLUF Cap,Bowtie (Red),,,Blue,Brown,Male,29.938235963938286,9340
9341,Round,Run Rabbit,Dunes,Mouth Open (Middle),Bit Ear,Steel Stud,Pacifier,Devil Horns,Bone Necklace,,,Green (Dilated),Peppermint,Male,49.60963723867467,9341
9342,Side Nod,Lucky Foot,Lambo,Anger,,Bull Ring,Lollipop,,Bone Necklace,FLUF Jacket,,Heart (Blue),Camo,Male,41.25513384958515,9342
9343,Round,NFT (Instrumental),Mansion,Mouth Open (Right),Gold Bows,Steel Ring,Joint,Beanie,Bowtie (Black),Gold Jacket,Round Glasses,Green,Brown,Female,84.48950831277368,9343
9344,Round,Run Rabbit,Lambo,Sad,,Steel Stud,,Beanie,,,Sunglasses,Green,Smoothie,Female,46.74852972534334,9344
9345,Bob,FLUF Ocean,FLUF Haus Miami 2021,Mouth Open (Right),,Bull Ring,Cigarette,Birthday Hat,FLUF Logo Chain,Voxel Rabbit Singlet,Designer Glasses,Green (Dilated),Sandy,Male,63.47744491182002,9345
9346,Bob,Stardust,Star Explorer,Sad,Steel Studs,,,Bandana,Lei,Sign My Carrot Singlet,,Reptile (White),Darkness,Female,61.45684400292441,9346
9347,Bob,Electric Carrots,The Wall,Blank,Gold Bows,,,Army Helmet,Bowtie (Red),Puffer Vest,,Brown,Sky,Male,34.08518112899369,9347
9348,Big Nod,FLUF You Up,Heaven,Mouth Open (Left),Steel Rings,Clown Nose,Party Horn,Beanie,,High Vis Vest,,Red,Retro,Male,49.65405325692259,9348
9349,Groove,Rabbiton,Spaceship,Smile + Wink,Steel Rings,Steel Ring,,Bandana,,Kimono,,Green,Sandy,Male,30.709582374567002,9349
9350,Round,Desert Digging,Pass,Sad,Diamond Studs,Steel Ring,,,Collar (Black),,Neon Glasses,Green,Camo,Female,62.418067119469555,9350
9351,Side Nod,Hop With Me,FTW (F*ck The War),Smile,Steel Rings,Gold Stud,,Army Helmet,,Tie Dye Singlet,,Red,Retro,Male,41.51087707318935,9351
9352,Side Nod,What the FLUF,Heaven,Blank,,Bull Ring,,Propeller Hat,,Black FLUF Singlet,,Purple,Winter,Female,37.52147292418899,9352
9353,Round,Hop On By,Heaven,Mouth Open (Right),Steel Rings,Gold Ring,Cigar,,,Flannel Jacket,Eye Patch,Thirties,Parrot,Male,53.15951587555799,9353
9354,Round,I Like to Party,Beach,Smile,Steel Rings & Studs,Bull Ring,,Bandana,Clock Necklace,,,Heart (Red),Tiger,Male,36.73099165023371,9354
9355,Side Nod,Run Rabbit,Tiki,Blank + Wink,Steel Rings,,,Afro (Base),Bowtie (Gold),Puffer Vest,Aviators,Green,Grey,Male,56.04031995905567,9355
9356,Subtle Nod,I Love FLUF,Thank You For Having Us,Smile,,Bone,Lip Piercings,Devil Horns,,,Sunglasses,Green,Parrot,Male,45.32482448686627,9356
9357,Side Nod,Electric Carrots,Tiki,Sad,Bit Ear,,Lipstick,Tuft (Blonde),Bowtie (Red),,,Cat (Blue),Raspberry Ripple,Female,59.809635075908,9357
9358,Bob,Shadows,Mansion,Grin,,,,Sun Visor,Collar (Pink),,Shutter Glasses,Red (Dilated),Moody Blue,Male,40.53294924489586,9358
9359,Groove,Hop With Me,Markets,Blank,Steel Studs,Gold Ring,,Flower Crown,Lei,FLUF Jacket,,Heart (Blue),Cow,Female,62.531586182373466,9359
9360,Groove,Back in the Burrow,Dunes,Mouth Open (Right),Steel Rings & Studs,Bull Ring,Cigar,Mohawk (Black),Bowtie (Red),Leather Vest,,Green,Peppermint,Male,46.79356338001106,9360
9361,Big Nod,Follow You,Beach,Anger,,Gold Stud,Party Horn,Pirate Hat,,Boob Tube,,Cat (Brown),Brown,Female,54.01959204192865,9361
9362,Round,Electric Carrots,Forest,Mouth Open (Right) + Wink,,,Pipe,Bandana,Clock Necklace,White Singlet,,Cat (Blue),Red,Male,43.43008431621034,9362
9363,Groove,Eating Carrots in the Dark,The Front,Mouth Open (Middle) + Wink,,Steel Ring,Whistle,Mohawk (Black),,,,Xs,Black & White,Male,26.619598645941274,9363
9364,Subtle Nod,Follow You,Dancing in the Shroomlight,Grin,Gold Rings & Studs,Diamond Stud,Lipstick,,FLUF Logo Chain,,,Thirties,Winter,Male,44.41636856553959,9364
9365,Groove,Beyond the Gates,Tiki,Anger,,,Party Horn,,FLUF Logo Chain,Gold Jacket,Designer Glasses,Yellow,Black & White,Male,50.31540403875536,9365
9366,Big Nod,Back in the Burrow,Heaven,Mouth Open (Right),Red Ribbon,Gold Stud,Carrot,Mohawk (Base),Bowtie (Black),,Round Glasses,Green,Winter,Male,57.10334132595752,9366
9367,Subtle Nod,Coffee and Carrots,Gallery,Blank,Steel Studs,,Medical Mask,,Collar (Black),,,Dollars,Peppermint,Male,22.29392208277124,9367
9368,Subtle Nod,Coffee and Carrots,Tiki,Blank,Gold Studs,Bull Ring,,Beanie,Collar (Black),,,Thirties,Sky,Male,30.774129954412764,9368
9369,Subtle Nod,Run Rabbit,Mansion,Smile + Wink,Steel Rings & Studs,Steel Ring,Lip Piercings,Sombrero,,Leather Vest,,Xs,Raspberry Ripple,Male,49.90169531281862,9369
9370,Big Nod,Run Rabbit,Heaven,Anger,Steel Rings,,Lollipop,Gold Cap,Greenstone,Sign My Carrot Singlet,,Cat (Brown),Pheonix,Male,52.0683579264005,9370
9371,Subtle Nod,Rabbiton,Garden,Mouth Open (Right),Steel Rings,Gold Ring,Carrot,Army Helmet,Bowtie (Gold),Digital Camo Singlet,,Purple,Black & White,Male,49.990798446436564,9371
9372,Groove,Beyond the Gates,Markets,Mouth Open (Left),Steel Studs,,Party Horn,,VIP lanyard,,,Xs,Parrot,Male,28.007135493366714,9372
9373,Side Nod,Coffee and Carrots,Spaceship,Mouth Open (Right),,Steel Ring,Carrot,Afro (Base),FLUF Logo Chain,,,Blue,Winter,Female,40.029355378042546,9373
9374,Subtle Nod,What the FLUF,Markets,Blank,Gold Rings,Bull Ring,,Afro (Base),,White Singlet,Bug Eye Glasses,Brown,Blue Blood,Male,50.59907889994234,9374
9375,Groove,Follow You,Swamp,Mouth Open (Right),FLUF Tag,Bull Ring,Joint,Tuft (Black),,Kimono,,Blue,Grey,Male,32.63256787754322,9375
9376,Side Nod,Hop With Me,Spaceship,Mouth Open (Middle),,Gold Ring,Whistle,,,Puffer Vest,Designer Glasses,Blue,Orange,Male,48.27425923112731,9376
9377,Subtle Nod,Rabbiton,Markets,Mouth Open (Right),FLUF Tag,Gold Stud,Joint,Sun Visor,Collar (Pink),,,Thirties,Orange,Male,40.25687801923184,9377
9378,Subtle Nod,Follow You,Heaven,Blank,Steel Rings & Studs,,,Bandana,,Red Balloon Singlet,Eye Patch,Purple,Tiger,Male,44.45599948780952,9378
9379,Round,Lucky Foot,Pre-Game,Mouth Open (Right),Red Ribbon,Bull Ring,Joint,,Headphones,,,Green,Sandy,Female,43.82303526714061,9379
9380,Side To Side,Eating Carrots in the Dark,Backalley,Blank,Gold Rings,Bull Ring,,Mullet (Base),Bowtie (Gold),Camo Jacket,,Blue,Sandy,Male,37.99256348375728,9380
9381,Side Nod,Hop With Me,Dunes,Mouth Open (Left),FLUF Tag,Bull Ring,Party Horn,Mullet (Orange),Bowtie (Red),,,Cat (Blue),Grey,Female,61.81375486401392,9381
9382,Big Nod,I Like to Party,Spaceship,Anger,Gold Rings,,Party Horn,Holographic Cap,Clock Necklace,Boob Tube,,Yellow,Grey,Female,67.76589434535187,9382
9383,Subtle Nod,Beyond the Gates,Heaven,Mouth Open (Right),Gold Studs,Bull Ring,Carrot,Beanie,Bowtie (Red),Yellow Rabbit Singlet,,Red,Black & White,Male,49.79203450138758,9383
9384,Bob,Shadows,Dancing in the Shroomlight,Smile,Steel Rings & Studs,,,Mullet (Orange),,Puffer Vest,,Fire,Smoothie,Female,49.30096008224886,9384
9385,Groove,I Like to Party,Spaceship,Grin + Wink,Gold Bows,Steel Ring,,,Glowstick Necklace,Boob Tube,,Dollars,Highlighter,Female,60.828009104549565,9385
9386,Groove,Floating or Flying,Gallery,Blank,Gold Rings & Studs,Diamond Stud,,,FLUF Logo Chain,,Designer Glasses,Blue,Cow,Male,41.51431729094211,9386
9387,Groove,I Like to Party,FTW (F*ck The War),Mouth Open (Right),Red Ribbon,Bull Ring,Carrot,,,,,Heart (Blue),Camo,Male,17.566554248031952,9387
9388,Side Nod,Eating Carrots in the Dark,Studio,Mouth Open (Left),FLUF Tag,Steel Stud,Party Horn,FLUF Cap,Bowtie (Black),Digital Camo Singlet,,Blast,Sandy,Male,63.05167368701225,9388
9389,Subtle Nod,Rabbiton,Garden,Blank,Red Ribbon,Steel Ring,,Mullet (Base),Bowtie (Red),Puffer Vest,,Portal,Cow,Male,46.64734746606644,9389
9390,Round,NFT (Instrumental),After Party,Mouth Open (Right),Steel Studs,Steel Ring,Pipe,Sun Visor,Headphones,,Safety Glasses,Blue,Grey,Male,57.04648461275641,9390
9391,Round,Space Fluffle,Lambo,Mouth Open (Middle),,,Whistle,Mohawk (Red),FLUF Logo Chain,Digital Camo Singlet,,Reptile (Cream),Black & White,Male,41.44177810067551,9391
9392,Round,Coffee and Carrots,Lambo,Blank,FLUF Tag,Steel Ring,,Sombrero,Bowtie (Black),Puffer Jacket,,Cat (Brown),Bully,Male,44.6956921296306,9392
9393,Round,FLUF You Up,Tiki,Blank,,,,Sun Visor,Bone Necklace,,Designer Glasses,Glowing White,Red,Female,49.9535522775297,9393
9394,Big Nod,Beyond the Gates,Tiki,Mouth Open (Middle),,Bull Ring,Whistle,Mullet (Black),Bowtie (Red),FLUF Jacket,Round Glasses,Brown,Black & White,Male,66.35400078277559,9394
9395,Bob,Floating or Flying,Mansion,Blank,,Diamond Stud,,Mullet (Base),Bowtie (Black),,Star Glasses,Fire,Peppermint,Male,42.04998103423145,9395
9396,Bob,Eating Carrots in the Dark,Markets,Blank,Gold Studs,Steel Ring,,Propeller Hat,Bowtie (Red),,,Fire,Zebra,Female,47.43388451464814,9396
9397,Side Nod,Hop With Me,Mystic Valley,Mouth Open (Right) + Wink,FLUF Tag,,Cigarette,Flower Crown,Bowtie (Gold),Red Balloon Singlet,Round Glasses,Glowing White,Red,Female,91.22464029136225,9397
9398,Subtle Nod,Ear Wobbler,Gallery,Mouth Open (Right) + Wink,FLUF Tag,Steel Ring,Joint,Bandana,Bowtie (Black),,Aviators,Blue,Winter,Female,75.75446294841282,9398
9399,Groove,Electric Carrots,Tiki,Mouth Open (Right),,Steel Ring,Cigarette,Afro (Black),,High Vis Vest,,Hypnotic,Winter,Male,27.779558053267618,9399
9400,Round,Electric Carrots,Dunes,Mouth Open (Right),Steel Rings,Diamond Stud,Pipe,,,Boob Tube,Star Glasses,Brown,Cow,Female,63.20112334173677,9400
9401,Big Nod,How Could You,Backalley,Mouth Open (Right),FLUF Tag,Bone,Carrot,Army Helmet,Bowtie (Gold),,,Blue,Brown,Male,35.88688001932781,9401
9402,Side To Side,I Like to Party,Pass,Mouth Open (Middle),,Bull Ring,Whistle,,Dog Tags,High Vis Vest,Neon Glasses,Blue,Highlighter,Male,57.64287789603433,9402
9403,Subtle Nod,FLUF You Up,Backalley,Mouth Open (Middle),,Bull Ring,Whistle,,Gold Chain,Puffer Vest,,Reptile (White),Ice Cream,Male,41.6487259985245,9403
9404,Groove,Hop With Me,Tiki,Blank,,Steel Stud,Lipstick,Afro (Black),,High Vis Vest,,Fire,Black & White,Female,48.176872729947306,9404
9405,Side Nod,What the FLUF,Pass,Blank,Steel Rings,Clown Nose,,Cowboy Hat,Gold Chain,,Sunglasses,Green,Winter,Male,47.88453707126609,9405
9406,Bob,Coffee and Carrots,Mansion,Mouth Open (Left),,Steel Stud,Lollipop,Birthday Hat,,Red Balloon Singlet,,Blue,Peppermint,Male,31.21660427490221,9406
9407,Big Nod,Desert Digging,Pass,Smile + Wink,Bit Ear,,,Birthday Hat,,Sign My Carrot Singlet,,Green (Dilated),Winter,Male,31.403550074649594,9407
9408,Round,Ear Wobbler,Pass,Anger,Diamond Studs,Steel Stud,Lollipop,Mullet (Orange),Collar (Black),,,Green,Raspberry Ripple,Male,43.22720484055797,9408
9409,Big Nod,Rabbiton,Lambo,Mouth Open (Left) + Wink,Gold Rings,Bull Ring,Party Horn,Pirate Hat,,Leather Vest,,Purple,Brown,Male,49.049594516938896,9409
9410,Subtle Nod,Hop On By,Swamp,Blank,,Gold Ring,,Conical Hat,Collar (Black),,,Red,Pheonix,Male,22.265168252034663,9410
9411,Side To Side,NFT (Instrumental),After Party,Smile,Bandaged,,Lip Piercings,Afro (Black),Collar (Pink),,Bug Eye Glasses,Blue,Orange,Female,75.8761168402653,9411
9412,Big Nod,Floating or Flying,Gallery,Grin + Wink,,,Tongue Out,Beer Hat,,Camo Jacket,,Cat (Blue),Parrot,Male,35.55441352055206,9412
9413,Side To Side,Dubhop,Fluf Haus LA 2022,Smile,Gold Rings,Gold Stud,,Tuft (Blonde),Lei,Flannel Jacket,Neon Glasses,Glowing White,Hawk,Female,94.45808188556309,9413
9414,Big Nod,Coffee and Carrots,Lambo,Mouth Open (Left),Steel Rings,Gold Ring,Party Horn,Cowboy Hat,Bowtie (Red),Boob Tube,,Purple,Red,Male,59.8909186434634,9414
9415,Bob,Desert Digging,Lambo,Anger,Gold Bows,Steel Ring,Lollipop,,Collar (Pink),Dress,Safety Glasses,Green,Brown,Female,81.62905981201502,9415
9416,Big Nod,Desert Digging,Backalley,Smile,Steel Studs,Steel Ring,Lip Piercings,Tuft (Base),Lei,,,Yellow,Peppermint,Female,63.0349369347739,9416
9417,Round,NFT (Instrumental),After Party,Blank,Steel Rings,Gold Stud,,Birthday Hat,,Yellow Rabbit Singlet,Steampunk Goggles,Blue,Orange,Male,53.08637078584635,9417
9418,Big Nod,Electric Carrots,Swamp,Smile,Steel Rings,Steel Stud,,Conical Hat,,Pink Jacket,Round Glasses,Green,Grey,Female,67.96038899252103,9418
9419,Side To Side,Run Rabbit,Mansion,Smile,Bit Ear,Steel Ring,,,,Puffer Jacket,Deal With It Glasses,Green,Hawk,Female,64.22770567217452,9419
9420,Round,Beyond the Gates,Swamp,Smile,,,,Sun Visor,Lei,Dress,,Green,Brown,Male,26.489734817851296,9420
9421,Side To Side,Latin Fiesta,Star Explorer,Anger,Steel Rings & Studs,,Party Horn,Afro (Base),Bowtie (Black),Camo Jacket,Speed Glasses,Blue,Bully,Male,71.25144324434086,9421
9422,Subtle Nod,Follow You,Mansion,Blank + Wink,Steel Rings,,Demon Mask,Cowboy Hat,,Puffer Vest,,Red,Sandy,Female,55.829336912311625,9422
9423,Round,What the FLUF,Lambo,Mouth Open (Right),FLUF Tag,Gold Ring,Cigar,FLUF Cap,,Kimono,,Green,Sandy,Male,37.59518048373791,9423
9424,Big Nod,What the FLUF,Mansion,Mouth Open (Left) + Wink,,Gold Ring,Party Horn,Conical Hat,FLUF Logo Chain,FLUF Jacket,,Glowing White,Moody Blue,Male,56.23140152545799,9424
9425,Side To Side,Shadows,After Party,Mouth Open (Right),,Bull Ring,Cigar,Beanie,Dog Tags,High Vis Vest,,Dollars,Cow,Male,45.811733494137144,9425
9426,Groove,Coffee and Carrots,Garden,Wonder,Steel Rings & Studs,,Lip Piercings,Afro (Base),,,Aviators,Brown,Sky,Male,43.54354572538149,9426
9427,Subtle Nod,Run Rabbit,Spaceship,Mouth Open (Left),Steel Studs,Bull Ring,Lollipop,Mullet (Base),,,,Green (Dilated),Peppermint,Male,31.111093860474497,9427
9428,Bob,Run Rabbit,Beach,Blank,Gold Bows,,Medical Mask,Birthday Hat,Bowtie (Gold),Dress,,Blue,Kanagawa,Female,60.78320470572077,9428
9429,Bob,Stardust,After Party,Blank,Steel Rings,Steel Stud,,Mullet (Black),VIP lanyard,,Star Glasses,Portal,Grey,Female,68.402313860067,9429
9430,Round,Space Fluffle,Spaceship,Blank,Diamond Studs,,,Conical Hat,Peace Necklace,,Dive Goggles,Glowing White,Guernica,Male,47.64540405148491,9430
9431,Groove,I Like to Party,Beach,Mouth Open (Middle),Gold Bows,Clown Nose,Mooncrust Pizza,Conical Hat,Bone Necklace,Leather Vest,,Yellow,Cow,Male,64.61810302806335,9431
9432,Round,Coffee and Carrots,Gallery,Mouth Open (Right),Steel Rings,Steel Ring,Cigarette,Tuft (Base),Collar (Black),,Designer Glasses,Brown,Hawk,Female,69.32758001269458,9432
9433,Subtle Nod,Beyond the Gates,Tiki,Sad,,Steel Stud,,,,Puffer Vest,Star Glasses,Heart (Red),Cow,Male,40.06214071625497,9433
9434,Side Nod,Coffee and Carrots,Spaceship,Mouth Open (Right),FLUF Tag,,Cigarette,Sun Visor,,Yellow Rabbit Singlet,,Cat (Blue),Winter,Male,30.908030981159797,9434
9435,Bob,Hop With Me,Gallery,Blank,,,,Conical Hat,Bowtie (Black),,Aviators,Green,Sandy,Female,41.34735824053594,9435
9436,Groove,Beyond the Gates,Swamp,Blank,Bandaged,Gold Stud,,Mullet (Orange),Glowstick Necklace,Black FLUF Singlet,Eye Patch,Blast,Orange,Male,71.57580943163015,9436
9437,Side To Side,Disco Rabbit,Tiki,Smile + Wink,,Gold Ring,Lip Piercings,Afro (Ginger),Collar (Black),,Speed Glasses,Green,Guernica,Female,74.1762819545301,9437
9438,Side Nod,Ear Wobbler,Dunes,Mouth Open (Right) + Wink,,Bone,Cigarette,Mohawk (Base),,,,Red (Dilated),Camo,Female,41.973127476901844,9438
9439,Big Nod,Disco Rabbit,Pass,Mouth Open (Right),,Clown Nose,Joint,Conical Hat,Bowtie (Red),,,Dollars,Cow,Male,29.962605223826998,9439
9440,Bob,Electric Carrots,Pass,Blank + Wink,,,,,Bowtie (Red),Red Balloon Singlet,Shutter Glasses,Yellow,Sandy,Male,40.18790973068598,9440
9441,Side Nod,Coffee and Carrots,Swamp,Mouth Open (Right),,,Pipe,,,FLUF Jacket,Fake Eyelashes,Xs,Darkness,Male,33.216609750804814,9441
9442,Groove,Lucky Foot,Mystic Valley,Blank,,Bull Ring,,Mullet (Black),Gold Chain,Tie Dye Singlet,3D Glasses,Brown,Raspberry Ripple,Male,55.97932419995876,9442
9443,Subtle Nod,Coffee and Carrots,Thank You For Having Us,Blank,Red Ribbon,,,,Bowtie (Gold),,Star Glasses,Cat (Blue),Cow,Male,34.429902885060876,9443
9444,Subtle Nod,FLUF You Up,Spaceship,Mouth Open (Right),Steel Rings,,Pipe,Propeller Hat,Tie,,Aviators,Blue,Brown,Male,43.77028797705021,9444
9445,Side To Side,Electric Carrots,Garden,Anger,Bit Ear,Steel Ring,Lollipop,Cowboy Hat,FLUF Logo Chain,,,Blue,Red,Female,58.99395505499294,9445
9446,Subtle Nod,Desert Digging,Beach,Mouth Open (Right),FLUF Tag,Bull Ring,Cigarette,Pirate Hat,Bowtie (Gold),,,Cat (Brown),Sandy,Male,35.01433393846994,9446
9447,Subtle Nod,NFT (Instrumental),The Wall,Sad,Bit Ear,,,Bandana,Bone Necklace,,,Green,Sandy,Male,28.53891099706724,9447
9448,Bob,What the FLUF,Dunes,Smile + Wink,Steel Studs,Diamond Stud,,Tuft (Base),Glowstick Necklace,,,Green,Sandy,Male,33.720434929924345,9448
9449,Groove,Beyond the Gates,Spaceship,Mouth Open (Left),Steel Rings & Studs,Bull Ring,Lollipop,Mohawk (Base),Greenstone,Voxel Rabbit Singlet,,Green (Dilated),Brown,Male,57.72419272027567,9449
9450,Round,Ear Wobbler,Tiki,Anger,Diamond Cross Earring,,,Tuft (Base),,Digital Camo Singlet,Aviators,Brown,Red,Female,63.10405943005609,9450
9451,Bob,Desert Digging,Lambo,Wonder,Gold Studs,Gold Stud,,Afro (Black),,,,Blue,Bully,Male,25.913768559583307,9451
9452,Bob,Follow You,Dunes,Mouth Open (Right) + Wink,,,Joint,Pirate Hat,,Tie Dye Singlet,Aviators,Green,Grinch,Male,45.004057656933526,9452
9453,Side Nod,Ear Wobbler,Pass,Mouth Open (Right),,Gold Ring,Cigar,Tennis Hat,,Leather Vest,Aviators,Green,Sandy,Male,49.06126905244123,9453
9454,Groove,Electric Carrots,Backalley,Blank,Steel Studs,Bull Ring,,Cowboy Hat,Peace Necklace,Voxel Rabbit Singlet,,Reptile (Cream),Candy Floss,Female,60.78689213393758,9454
9455,Side Nod,Reggae Rabbits,Garden,Anger,Steel Rings,,Lollipop,Flower Crown,,Pink Jacket,Aviators,Brown,Raspberry Ripple,Female,70.17971163363661,9455
9456,Bob,Reggae Rabbits,Spaceship,Anger,,Steel Stud,,Conical Hat,Bone Necklace,,Speed Glasses,Brown,Cheetah,Male,42.86996610329999,9456
9457,Groove,FLUF Ocean,Mystic Valley,Blank,,Gold Ring,,Birthday Hat,Collar (Pink),Tie Dye Singlet,Neon Glasses,Dead,Darkness,Female,75.41336366741804,9457
9458,Groove,Ear Wobbler,Spaceship,Mouth Open (Right),Gold Studs,,Joint,Flower Crown,Glowstick Necklace,,,Demon,Zombie (Green),Female,47.1298629800756,9458
9459,Round,Coffee and Carrots,Lambo,Anger,Steel Rings & Studs,Gold Ring,Lollipop,Bandana,VIP lanyard,Kimono,,Scribble,Peppermint,Male,60.21554330945828,9459
